,serum,virus,replicate,concentration,fraction infectivity
0,SD95_5,229E-1992,1,0.1,0.5849
1,SD95_5,229E-1992,1,0.03333,0.6963
2,SD95_5,229E-1992,1,0.01111,0.8059
3,SD95_5,229E-1992,1,0.003704,1.026
4,SD95_5,229E-1992,1,0.001235,1.163
5,SD95_5,229E-1992,1,0.0004115,1.042
6,SD95_5,229E-1992,1,0.0001372,1.108
7,SD95_5,229E-1992,2,0.1,0.4291
8,SD95_5,229E-1992,2,0.03333,0.8108
9,SD95_5,229E-1992,2,0.01111,0.7608
10,SD95_5,229E-1992,2,0.003704,0.9544
11,SD95_5,229E-1992,2,0.001235,1.02
12,SD95_5,229E-1992,2,0.0004115,1.156
13,SD95_5,229E-1992,2,0.0001372,1.088
14,SD95_6,229E-1992,1,0.1,0.4637
15,SD95_6,229E-1992,1,0.03333,0.6103
16,SD95_6,229E-1992,1,0.01111,0.6853
17,SD95_6,229E-1992,1,0.003704,0.8784
18,SD95_6,229E-1992,1,0.001235,1.026
19,SD95_6,229E-1992,1,0.0004115,1.095
20,SD95_6,229E-1992,1,0.0001372,0.9552
21,SD95_6,229E-1992,2,0.1,0.5485
22,SD95_6,229E-1992,2,0.03333,0.6082
23,SD95_6,229E-1992,2,0.01111,0.7996
24,SD95_6,229E-1992,2,0.003704,0.9284
25,SD95_6,229E-1992,2,0.001235,1.019
26,SD95_6,229E-1992,2,0.0004115,0.9828
27,SD95_6,229E-1992,2,0.0001372,0.9599
28,SD95_7,229E-1992,1,0.1,0.0113
29,SD95_7,229E-1992,1,0.03333,0.106
30,SD95_7,229E-1992,1,0.01111,0.4652
31,SD95_7,229E-1992,1,0.003704,0.8466
32,SD95_7,229E-1992,1,0.001235,1.004
33,SD95_7,229E-1992,1,0.0004115,0.9785
34,SD95_7,229E-1992,1,0.0001372,1.034
35,SD95_7,229E-1992,2,0.1,0.006725
36,SD95_7,229E-1992,2,0.03333,0.1016
37,SD95_7,229E-1992,2,0.01111,0.4324
38,SD95_7,229E-1992,2,0.003704,0.7097
