serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,midpoint,slope,top,bottom
AUSAB-01,229E-2016,average,2,0.029005735897585604,interpolated,0.029,0.029005735897585604,1.4168343084653774,1,0
AUSAB-02,229E-2016,average,2,0.013032385585390516,interpolated,0.013,0.013032385585390516,1.4495113645257105,1,0
AUSAB-04,229E-2016,average,2,0.045667810055732914,interpolated,0.0457,0.045667810055732914,1.4183615321329996,1,0
AUSAB-06,229E-2016,average,2,0.04323069462312933,interpolated,0.0432,0.04323069462312933,1.212101182480626,1,0
AUSAB-07,229E-2016,average,2,0.1,lower,>0.1,0.12103131432128482,1.1626614779787592,1,0
AUSAB-08,229E-2016,average,2,0.01577191082227235,interpolated,0.0158,0.01577191082227235,0.8805886711215237,1,0
AUSAB-09,229E-2016,average,2,0.04516198889482544,interpolated,0.0452,0.04516198889482544,1.382046071911088,1,0
AUSAB-10,229E-1984,average,2,0.04991499556271575,interpolated,0.0499,0.04991499556271575,1.132670658123801,1,0
AUSAB-10,229E-1992,average,2,0.044723187174590374,interpolated,0.0447,0.044723187174590374,1.0631277339059828,1,0
AUSAB-10,229E-2001,average,2,0.039220623705982796,interpolated,0.0392,0.039220623705982796,1.1983516808491497,1,0
AUSAB-10,229E-2008,average,2,0.01856746269385321,interpolated,0.0186,0.01856746269385321,0.9948481393561127,1,0
AUSAB-10,229E-2016,average,4,0.003456549789678464,interpolated,0.00346,0.003456549789678464,1.1620952882909594,1,0
AUSAB-11,229E-2016,average,2,0.0334430536940669,interpolated,0.0334,0.0334430536940669,1.2860000004161816,1,0
AUSAB-12,229E-1984,average,2,0.028956776039358235,interpolated,0.029,0.028956776039358235,1.1194627425347898,1,0
AUSAB-12,229E-1992,average,2,0.026102552267386395,interpolated,0.0261,0.026102552267386395,0.9703149208035398,1,0
AUSAB-12,229E-2001,average,2,0.01975234709995625,interpolated,0.0198,0.01975234709995625,1.2458284920546987,1,0
AUSAB-12,229E-2008,average,2,0.018431304592016837,interpolated,0.0184,0.018431304592016837,1.0806301847532491,1,0
AUSAB-12,229E-2016,average,4,0.014451062053617491,interpolated,0.0145,0.014451062053617491,0.9524527116828306,1,0
AUSAB-13,229E-2016,average,2,0.02237892892451181,interpolated,0.0224,0.02237892892451181,1.039221589865456,1,0
AUSAB-15,229E-2016,average,2,0.016990366568464577,interpolated,0.017,0.016990366568464577,1.9299847888058137,1,0
AUSAB-16,229E-2016,average,2,0.04781154644097136,interpolated,0.0478,0.04781154644097136,1.2963677049274878,1,0
AUSAB-17,229E-1984,average,2,0.00408483960923274,interpolated,0.00408,0.00408483960923274,1.328565033249059,1,0
AUSAB-17,229E-1992,average,2,0.0026203512866532796,interpolated,0.00262,0.0026203512866532796,1.326990467887162,1,0
AUSAB-17,229E-2001,average,2,0.002377854656061544,interpolated,0.00238,0.002377854656061544,1.164701681967666,1,0
AUSAB-17,229E-2008,average,2,0.0035736125653873557,interpolated,0.00357,0.0035736125653873557,1.3663515781767033,1,0
AUSAB-17,229E-2016,average,4,0.006142743491961472,interpolated,0.00614,0.006142743491961472,1.2986305262039426,1,0
AUSAB-18,229E-2016,average,2,0.01183464578333308,interpolated,0.0118,0.01183464578333308,2.345589891893093,1,0
AUSAB-20,229E-1984,average,2,0.00680356082510094,interpolated,0.0068,0.00680356082510094,1.2068957004025203,1,0
AUSAB-20,229E-1992,average,2,0.0031649575885227886,interpolated,0.00316,0.0031649575885227886,1.1574488506708043,1,0
AUSAB-20,229E-2001,average,2,0.002441429713698902,interpolated,0.00244,0.002441429713698902,1.3131822220280909,1,0
AUSAB-20,229E-2008,average,2,0.004009727262904392,interpolated,0.00401,0.004009727262904392,1.2026172335295826,1,0
AUSAB-20,229E-2016,average,4,0.008251418147211372,interpolated,0.00825,0.008251418147211372,1.631489585645611,1,0
FH003MJ,229E-1984,average,2,0.016789719622492434,interpolated,0.0168,0.016789719622492434,1.6352368940966662,1,0
FH004MM,229E-1984,average,2,0.03461978955833889,interpolated,0.0346,0.03461978955833889,0.9638656495123052,1,0
FH005DJ,229E-1984,average,2,0.014058751600832115,interpolated,0.0141,0.014058751600832115,1.2894677134547652,1,0
FH006SM,229E-1984,average,2,0.06340211818799846,interpolated,0.0634,0.06340211818799846,1.3242329167042026,1,0
FH007TR,229E-1984,average,2,0.008008554820750153,interpolated,0.00801,0.008008554820750153,1.0745262059637384,1,0
FH007TR,229E-1992,average,2,0.1,lower,>0.1,0.10396584582180754,1.4142148193930701,1,0
FH007TR,229E-2001,average,2,0.1,lower,>0.1,0.1025366223343419,1.0047789121885653,1,0
FH007TR,229E-2008,average,2,0.1,lower,>0.1,0.10949908537118723,0.8656950741440508,1,0
