serum,virus,replicate,concentration,fraction infectivity,date
AUSAB-16,229E-2016,1,0.1,0.2469,2020-11-27
AUSAB-16,229E-2016,1,0.03333,0.8262,2020-11-27
AUSAB-16,229E-2016,1,0.01111,0.6595,2020-11-27
AUSAB-16,229E-2016,1,0.003704,1.305,2020-11-27
AUSAB-16,229E-2016,1,0.001235,1.205,2020-11-27
AUSAB-16,229E-2016,1,0.0004115,0.8482,2020-11-27
AUSAB-16,229E-2016,1,0.0001372,1.376,2020-11-27
AUSAB-16,229E-2016,2,0.1,0.2062,2020-11-27
AUSAB-16,229E-2016,2,0.03333,0.6502,2020-11-27
AUSAB-16,229E-2016,2,0.01111,0.6216,2020-11-27
AUSAB-16,229E-2016,2,0.003704,0.9595,2020-11-27
AUSAB-16,229E-2016,2,0.001235,1.059,2020-11-27
AUSAB-16,229E-2016,2,0.0004115,1.127,2020-11-27
AUSAB-16,229E-2016,2,0.0001372,1.358,2020-11-27
AUSAB-17,229E-2016,1,0.1,0.009716,2020-11-27
AUSAB-17,229E-2016,1,0.03333,0.0743,2020-11-27
AUSAB-17,229E-2016,1,0.01111,0.1441,2020-11-27
AUSAB-17,229E-2016,1,0.003704,0.8765,2020-11-27
AUSAB-17,229E-2016,1,0.001235,1.085,2020-11-27
AUSAB-17,229E-2016,1,0.0004115,1.031,2020-11-27
AUSAB-17,229E-2016,1,0.0001372,1.305,2020-11-27
AUSAB-17,229E-2016,2,0.1,0.002595,2020-11-27
AUSAB-17,229E-2016,2,0.03333,0.04878,2020-11-27
AUSAB-17,229E-2016,2,0.01111,0.4047,2020-11-27
AUSAB-17,229E-2016,2,0.003704,0.3304,2020-11-27
AUSAB-17,229E-2016,2,0.001235,0.8195,2020-11-27
AUSAB-17,229E-2016,2,0.0004115,1.089,2020-11-27
AUSAB-17,229E-2016,2,0.0001372,1.112,2020-11-27
AUSAB-18,229E-2016,1,0.1,0.0211,2020-11-27
AUSAB-18,229E-2016,1,0.03333,0.1045,2020-11-27
AUSAB-18,229E-2016,1,0.01111,0.5812,2020-11-27
AUSAB-18,229E-2016,1,0.003704,0.7704,2020-11-27
AUSAB-18,229E-2016,1,0.001235,1.071,2020-11-27
AUSAB-18,229E-2016,1,0.0004115,0.9751,2020-11-27
AUSAB-18,229E-2016,1,0.0001372,1.229,2020-11-27
AUSAB-18,229E-2016,2,0.1,0.05075,2020-11-27
AUSAB-18,229E-2016,2,0.03333,0.1246,2020-11-27
AUSAB-18,229E-2016,2,0.01111,0.4524,2020-11-27
AUSAB-18,229E-2016,2,0.003704,1.168,2020-11-27
AUSAB-18,229E-2016,2,0.001235,1.145,2020-11-27
AUSAB-18,229E-2016,2,0.0004115,0.98,2020-11-27
AUSAB-18,229E-2016,2,0.0001372,1.114,2020-11-27
AUSAB-20,229E-2016,1,0.1,0.0004115,2020-11-27
AUSAB-20,229E-2016,1,0.03333,0.08213,2020-11-27
AUSAB-20,229E-2016,1,0.01111,0.3357,2020-11-27
AUSAB-20,229E-2016,1,0.003704,0.7071,2020-11-27
AUSAB-20,229E-2016,1,0.001235,1.365,2020-11-27
AUSAB-20,229E-2016,1,0.0004115,0.9636,2020-11-27
AUSAB-20,229E-2016,1,0.0001372,1.711,2020-11-27
AUSAB-20,229E-2016,2,0.1,0.0003911,2020-11-27
AUSAB-20,229E-2016,2,0.03333,0.01998,2020-11-27
AUSAB-20,229E-2016,2,0.01111,0.2396,2020-11-27
AUSAB-20,229E-2016,2,0.003704,0.6255,2020-11-27
AUSAB-20,229E-2016,2,0.001235,1.089,2020-11-27
AUSAB-20,229E-2016,2,0.0004115,0.806,2020-11-27
AUSAB-20,229E-2016,2,0.0001372,1.358,2020-11-27
AUSAB-11,229E-2016,1,0.1,0.2056,2020-11-27
AUSAB-11,229E-2016,1,0.03333,0.5967,2020-11-27
AUSAB-11,229E-2016,1,0.01111,0.6819,2020-11-27
AUSAB-11,229E-2016,1,0.003704,0.9778,2020-11-27
AUSAB-11,229E-2016,1,0.001235,1.192,2020-11-27
AUSAB-11,229E-2016,1,0.0004115,1.611,2020-11-27
AUSAB-11,229E-2016,1,0.0001372,0.9339,2020-11-27
AUSAB-11,229E-2016,2,0.1,0.2176,2020-11-27
AUSAB-11,229E-2016,2,0.03333,0.4249,2020-11-27
AUSAB-11,229E-2016,2,0.01111,0.8343,2020-11-27
AUSAB-11,229E-2016,2,0.003704,0.9055,2020-11-27
AUSAB-11,229E-2016,2,0.001235,0.8633,2020-11-27
AUSAB-11,229E-2016,2,0.0004115,1.623,2020-11-27
AUSAB-11,229E-2016,2,0.0001372,0.8986,2020-11-27
AUSAB-12,229E-2016,1,0.1,0.08686,2020-11-27
AUSAB-12,229E-2016,1,0.03333,0.3316,2020-11-27
AUSAB-12,229E-2016,1,0.01111,0.3733,2020-11-27
AUSAB-12,229E-2016,1,0.003704,0.6307,2020-11-27
AUSAB-12,229E-2016,1,0.001235,0.7765,2020-11-27
AUSAB-12,229E-2016,1,0.0004115,1.118,2020-11-27
AUSAB-12,229E-2016,1,0.0001372,0.7979,2020-11-27
AUSAB-12,229E-2016,2,0.1,0.1052,2020-11-27
AUSAB-12,229E-2016,2,0.03333,0.2063,2020-11-27
AUSAB-12,229E-2016,2,0.01111,0.5931,2020-11-27
AUSAB-12,229E-2016,2,0.003704,0.7405,2020-11-27
AUSAB-12,229E-2016,2,0.001235,0.7832,2020-11-27
AUSAB-12,229E-2016,2,0.0004115,1.413,2020-11-27
AUSAB-12,229E-2016,2,0.0001372,0.9762,2020-11-27
AUSAB-13,229E-2016,1,0.1,0.1258,2020-11-27
AUSAB-13,229E-2016,1,0.03333,0.5082,2020-11-27
AUSAB-13,229E-2016,1,0.01111,0.639,2020-11-27
AUSAB-13,229E-2016,1,0.003704,0.8841,2020-11-27
AUSAB-13,229E-2016,1,0.001235,0.9152,2020-11-27
AUSAB-13,229E-2016,1,0.0004115,1.345,2020-11-27
AUSAB-13,229E-2016,1,0.0001372,0.6872,2020-11-27
AUSAB-13,229E-2016,2,0.1,0.3016,2020-11-27
AUSAB-13,229E-2016,2,0.03333,0.3772,2020-11-27
AUSAB-13,229E-2016,2,0.01111,0.4452,2020-11-27
AUSAB-13,229E-2016,2,0.003704,0.9218,2020-11-27
AUSAB-13,229E-2016,2,0.001235,1.299,2020-11-27
AUSAB-13,229E-2016,2,0.0004115,0.8872,2020-11-27
AUSAB-13,229E-2016,2,0.0001372,1.106,2020-11-27
AUSAB-15,229E-2016,1,0.1,0.06209,2020-11-27
AUSAB-15,229E-2016,1,0.03333,0.2104,2020-11-27
AUSAB-15,229E-2016,1,0.01111,0.7355,2020-11-27
AUSAB-15,229E-2016,1,0.003704,1.009,2020-11-27
AUSAB-15,229E-2016,1,0.001235,0.6413,2020-11-27
AUSAB-15,229E-2016,1,0.0004115,1.147,2020-11-27
AUSAB-15,229E-2016,1,0.0001372,0.7896,2020-11-27
AUSAB-15,229E-2016,2,0.1,0.1458,2020-11-27
AUSAB-15,229E-2016,2,0.03333,0.182,2020-11-27
AUSAB-15,229E-2016,2,0.01111,0.6313,2020-11-27
AUSAB-15,229E-2016,2,0.003704,1.096,2020-11-27
AUSAB-15,229E-2016,2,0.001235,0.716,2020-11-27
AUSAB-15,229E-2016,2,0.0004115,1.327,2020-11-27
AUSAB-15,229E-2016,2,0.0001372,0.8287,2020-11-27
AUSAB-07,229E-2016,1,0.1,0.4871,2020-11-27
AUSAB-07,229E-2016,1,0.03333,0.6554,2020-11-27
AUSAB-07,229E-2016,1,0.01111,0.922,2020-11-27
AUSAB-07,229E-2016,1,0.003704,0.9301,2020-11-27
AUSAB-07,229E-2016,1,0.001235,0.9577,2020-11-27
AUSAB-07,229E-2016,1,0.0004115,1.249,2020-11-27
AUSAB-07,229E-2016,1,0.0001372,0.7135,2020-11-27
AUSAB-07,229E-2016,2,0.1,0.588,2020-11-27
AUSAB-07,229E-2016,2,0.03333,1.11,2020-11-27
AUSAB-07,229E-2016,2,0.01111,0.7192,2020-11-27
AUSAB-07,229E-2016,2,0.003704,1.221,2020-11-27
AUSAB-07,229E-2016,2,0.001235,0.9086,2020-11-27
AUSAB-07,229E-2016,2,0.0004115,0.999,2020-11-27
AUSAB-07,229E-2016,2,0.0001372,0.651,2020-11-27
AUSAB-08,229E-2016,1,0.1,0.1349,2020-11-27
AUSAB-08,229E-2016,1,0.03333,0.4717,2020-11-27
AUSAB-08,229E-2016,1,0.01111,0.5202,2020-11-27
AUSAB-08,229E-2016,1,0.003704,0.8981,2020-11-27
AUSAB-08,229E-2016,1,0.001235,0.6835,2020-11-27
AUSAB-08,229E-2016,1,0.0004115,1.192,2020-11-27
AUSAB-08,229E-2016,1,0.0001372,0.4449,2020-11-27
AUSAB-08,229E-2016,2,0.1,0.07261,2020-11-27
AUSAB-08,229E-2016,2,0.03333,0.328,2020-11-27
AUSAB-08,229E-2016,2,0.01111,0.5366,2020-11-27
AUSAB-08,229E-2016,2,0.003704,0.9069,2020-11-27
AUSAB-08,229E-2016,2,0.001235,0.604,2020-11-27
AUSAB-08,229E-2016,2,0.0004115,1.489,2020-11-27
AUSAB-08,229E-2016,2,0.0001372,0.8103,2020-11-27
AUSAB-09,229E-2016,1,0.1,0.2644,2020-11-27
AUSAB-09,229E-2016,1,0.03333,0.6846,2020-11-27
AUSAB-09,229E-2016,1,0.01111,0.6613,2020-11-27
AUSAB-09,229E-2016,1,0.003704,0.8243,2020-11-27
AUSAB-09,229E-2016,1,0.001235,0.9517,2020-11-27
AUSAB-09,229E-2016,1,0.0004115,1.913,2020-11-27
AUSAB-09,229E-2016,1,0.0001372,0.6554,2020-11-27
AUSAB-09,229E-2016,2,0.1,0.184,2020-11-27
AUSAB-09,229E-2016,2,0.03333,0.6002,2020-11-27
AUSAB-09,229E-2016,2,0.01111,1.055,2020-11-27
AUSAB-09,229E-2016,2,0.003704,0.8063,2020-11-27
AUSAB-09,229E-2016,2,0.001235,1.396,2020-11-27
AUSAB-09,229E-2016,2,0.0004115,1.028,2020-11-27
AUSAB-09,229E-2016,2,0.0001372,0.7572,2020-11-27
AUSAB-10,229E-2016,1,0.1,0.0002129,2020-11-27
AUSAB-10,229E-2016,1,0.03333,0.02914,2020-11-27
AUSAB-10,229E-2016,1,0.01111,0.1253,2020-11-27
AUSAB-10,229E-2016,1,0.003704,0.4763,2020-11-27
AUSAB-10,229E-2016,1,0.001235,0.817,2020-11-27
AUSAB-10,229E-2016,1,0.0004115,1.081,2020-11-27
AUSAB-10,229E-2016,1,0.0001372,1.086,2020-11-27
AUSAB-10,229E-2016,2,0.1,0.01195,2020-11-27
AUSAB-10,229E-2016,2,0.03333,0.02946,2020-11-27
AUSAB-10,229E-2016,2,0.01111,0.1421,2020-11-27
AUSAB-10,229E-2016,2,0.003704,0.2756,2020-11-27
AUSAB-10,229E-2016,2,0.001235,0.442,2020-11-27
AUSAB-10,229E-2016,2,0.0004115,0.9954,2020-11-27
AUSAB-10,229E-2016,2,0.0001372,0.8888,2020-11-27
AUSAB-01,229E-2016,1,0.1,0.1709,2020-11-27
AUSAB-01,229E-2016,1,0.03333,0.5763,2020-11-27
AUSAB-01,229E-2016,1,0.01111,0.9789,2020-11-27
AUSAB-01,229E-2016,1,0.003704,0.8578,2020-11-27
AUSAB-01,229E-2016,1,0.001235,1.212,2020-11-27
AUSAB-01,229E-2016,1,0.0004115,1.001,2020-11-27
AUSAB-01,229E-2016,1,0.0001372,1.039,2020-11-27
AUSAB-01,229E-2016,2,0.1,0.1512,2020-11-27
AUSAB-01,229E-2016,2,0.03333,0.3734,2020-11-27
AUSAB-01,229E-2016,2,0.01111,0.4484,2020-11-27
AUSAB-01,229E-2016,2,0.003704,1.139,2020-11-27
AUSAB-01,229E-2016,2,0.001235,1.302,2020-11-27
AUSAB-01,229E-2016,2,0.0004115,1.266,2020-11-27
AUSAB-01,229E-2016,2,0.0001372,0.8783,2020-11-27
AUSAB-02,229E-2016,1,0.1,0.03193,2020-11-27
AUSAB-02,229E-2016,1,0.03333,0.2907,2020-11-27
AUSAB-02,229E-2016,1,0.01111,0.3947,2020-11-27
AUSAB-02,229E-2016,1,0.003704,0.8437,2020-11-27
AUSAB-02,229E-2016,1,0.001235,1.32,2020-11-27
AUSAB-02,229E-2016,1,0.0004115,1.273,2020-11-27
AUSAB-02,229E-2016,1,0.0001372,0.7624,2020-11-27
AUSAB-02,229E-2016,2,0.1,0.07949,2020-11-27
AUSAB-02,229E-2016,2,0.03333,0.2325,2020-11-27
AUSAB-02,229E-2016,2,0.01111,0.6722,2020-11-27
AUSAB-02,229E-2016,2,0.003704,0.6218,2020-11-27
AUSAB-02,229E-2016,2,0.001235,1.236,2020-11-27
AUSAB-02,229E-2016,2,0.0004115,1.411,2020-11-27
AUSAB-02,229E-2016,2,0.0001372,0.9757,2020-11-27
AUSAB-04,229E-2016,1,0.1,0.1591,2020-11-27
AUSAB-04,229E-2016,1,0.03333,0.5686,2020-11-27
AUSAB-04,229E-2016,1,0.01111,0.5681,2020-11-27
AUSAB-04,229E-2016,1,0.003704,1.262,2020-11-27
AUSAB-04,229E-2016,1,0.001235,1.814,2020-11-27
AUSAB-04,229E-2016,1,0.0004115,0.8351,2020-11-27
AUSAB-04,229E-2016,1,0.0001372,1.121,2020-11-27
AUSAB-04,229E-2016,2,0.1,0.3283,2020-11-27
AUSAB-04,229E-2016,2,0.03333,0.7914,2020-11-27
AUSAB-04,229E-2016,2,0.01111,0.6752,2020-11-27
AUSAB-04,229E-2016,2,0.003704,1.209,2020-11-27
AUSAB-04,229E-2016,2,0.001235,1.613,2020-11-27
AUSAB-04,229E-2016,2,0.0004115,0.9207,2020-11-27
AUSAB-04,229E-2016,2,0.0001372,1.22,2020-11-27
AUSAB-06,229E-2016,1,0.1,0.2995,2020-11-27
AUSAB-06,229E-2016,1,0.03333,0.7395,2020-11-27
AUSAB-06,229E-2016,1,0.01111,0.8334,2020-11-27
AUSAB-06,229E-2016,1,0.003704,0.7845,2020-11-27
AUSAB-06,229E-2016,1,0.001235,1.82,2020-11-27
AUSAB-06,229E-2016,1,0.0004115,1.079,2020-11-27
AUSAB-06,229E-2016,1,0.0001372,1.406,2020-11-27
AUSAB-06,229E-2016,2,0.1,0.185,2020-11-27
AUSAB-06,229E-2016,2,0.03333,0.5839,2020-11-27
AUSAB-06,229E-2016,2,0.01111,0.5741,2020-11-27
AUSAB-06,229E-2016,2,0.003704,0.8888,2020-11-27
AUSAB-06,229E-2016,2,0.001235,1.215,2020-11-27
AUSAB-06,229E-2016,2,0.0004115,1.236,2020-11-27
AUSAB-06,229E-2016,2,0.0001372,1.093,2020-11-27
POP_0019,229E-2016,1,0.1,0.4399,2020-11-27
POP_0019,229E-2016,1,0.03333,0.7385,2020-11-27
POP_0019,229E-2016,1,0.01111,0.5914,2020-11-27
POP_0019,229E-2016,1,0.003704,0.7297,2020-11-27
POP_0019,229E-2016,1,0.001235,0.9487,2020-11-27
POP_0019,229E-2016,1,0.0004115,0.8137,2020-11-27
POP_0019,229E-2016,1,0.0001372,1.375,2020-11-27
POP_0019,229E-2016,2,0.1,0.3252,2020-11-27
POP_0019,229E-2016,2,0.03333,0.571,2020-11-27
POP_0019,229E-2016,2,0.01111,0.7216,2020-11-27
POP_0019,229E-2016,2,0.003704,0.7763,2020-11-27
POP_0019,229E-2016,2,0.001235,1.166,2020-11-27
POP_0019,229E-2016,2,0.0004115,0.9023,2020-11-27
POP_0019,229E-2016,2,0.0001372,0.7874,2020-11-27
POP_0036,229E-2016,1,0.1,0.2369,2020-11-27
POP_0036,229E-2016,1,0.03333,0.5236,2020-11-27
POP_0036,229E-2016,1,0.01111,0.5062,2020-11-27
POP_0036,229E-2016,1,0.003704,0.4096,2020-11-27
POP_0036,229E-2016,1,0.001235,0.746,2020-11-27
POP_0036,229E-2016,1,0.0004115,1.017,2020-11-27
POP_0036,229E-2016,1,0.0001372,0.6967,2020-11-27
POP_0036,229E-2016,2,0.1,0.2145,2020-11-27
POP_0036,229E-2016,2,0.03333,0.7776,2020-11-27
POP_0036,229E-2016,2,0.01111,1.017,2020-11-27
POP_0036,229E-2016,2,0.003704,0.6387,2020-11-27
POP_0036,229E-2016,2,0.001235,1.373,2020-11-27
POP_0036,229E-2016,2,0.0004115,1.238,2020-11-27
POP_0036,229E-2016,2,0.0001372,0.8163,2020-11-27
POP_0097,229E-2016,1,0.1,0.01528,2020-11-27
POP_0097,229E-2016,1,0.03333,0.09787,2020-11-27
POP_0097,229E-2016,1,0.01111,0.3194,2020-11-27
POP_0097,229E-2016,1,0.003704,0.7144,2020-11-27
POP_0097,229E-2016,1,0.001235,0.9602,2020-11-27
POP_0097,229E-2016,1,0.0004115,0.9191,2020-11-27
POP_0097,229E-2016,1,0.0001372,1.134,2020-11-27
POP_0097,229E-2016,2,0.1,0.01827,2020-11-27
POP_0097,229E-2016,2,0.03333,0.04078,2020-11-27
POP_0097,229E-2016,2,0.01111,0.2038,2020-11-27
POP_0097,229E-2016,2,0.003704,0.3644,2020-11-27
POP_0097,229E-2016,2,0.001235,0.8097,2020-11-27
POP_0097,229E-2016,2,0.0004115,0.6375,2020-11-27
POP_0097,229E-2016,2,0.0001372,0.885,2020-11-27
FR1377,229E-2016,1,0.1,1.589,2020-11-27
FR1377,229E-2016,1,0.03333,1.061,2020-11-27
FR1377,229E-2016,1,0.01111,0.9114,2020-11-27
FR1377,229E-2016,1,0.003704,0.6716,2020-11-27
FR1377,229E-2016,1,0.001235,1.152,2020-11-27
FR1377,229E-2016,1,0.0004115,1.402,2020-11-27
FR1377,229E-2016,1,0.0001372,0.6649,2020-11-27
FR1377,229E-2016,2,0.1,0.9503,2020-11-27
FR1377,229E-2016,2,0.03333,1.708,2020-11-27
FR1377,229E-2016,2,0.01111,1.086,2020-11-27
FR1377,229E-2016,2,0.003704,0.7504,2020-11-27
FR1377,229E-2016,2,0.001235,1.07,2020-11-27
FR1377,229E-2016,2,0.0004115,1.227,2020-11-27
FR1377,229E-2016,2,0.0001372,0.858,2020-11-27
POP_0011,229E-2016,1,0.1,0.07325,2020-11-27
POP_0011,229E-2016,1,0.03333,0.2314,2020-11-27
POP_0011,229E-2016,1,0.01111,0.7261,2020-11-27
POP_0011,229E-2016,1,0.003704,0.9823,2020-11-27
POP_0011,229E-2016,1,0.001235,0.9994,2020-11-27
POP_0011,229E-2016,1,0.0004115,1.655,2020-11-27
POP_0011,229E-2016,1,0.0001372,0.973,2020-11-27
POP_0011,229E-2016,2,0.1,0.03944,2020-11-27
POP_0011,229E-2016,2,0.03333,0.1813,2020-11-27
POP_0011,229E-2016,2,0.01111,1.045,2020-11-27
POP_0011,229E-2016,2,0.003704,0.7385,2020-11-27
