serum,virus,replicate,concentration,fraction infectivity,date
FH007TR,229E-1992,1,0.1000,0.4530,2020-10-22
FH007TR,229E-1992,1,0.0333,0.7756,2020-10-22
FH007TR,229E-1992,1,0.0111,0.8930,2020-10-22
FH007TR,229E-1992,1,0.0037,0.9029,2020-10-22
FH007TR,229E-1992,1,0.0012,1.2490,2020-10-22
FH007TR,229E-1992,1,0.0004,0.8859,2020-10-22
FH007TR,229E-1992,1,0.0001,0.9151,2020-10-22
FH007TR,229E-1992,2,0.1000,0.5574,2020-10-22
FH007TR,229E-1992,2,0.0333,0.9568,2020-10-22
FH007TR,229E-1992,2,0.0111,0.8926,2020-10-22
FH007TR,229E-1992,2,0.0037,1.0710,2020-10-22
FH007TR,229E-1992,2,0.0012,0.9803,2020-10-22
FH007TR,229E-1992,2,0.0004,0.9385,2020-10-22
FH007TR,229E-1992,2,0.0001,1.1450,2020-10-22
FH008WC,229E-1992,1,0.1000,0.4147,2020-10-22
FH008WC,229E-1992,1,0.0333,0.7384,2020-10-22
FH008WC,229E-1992,1,0.0111,0.9084,2020-10-22
FH008WC,229E-1992,1,0.0037,1.0400,2020-10-22
FH008WC,229E-1992,1,0.0012,1.2740,2020-10-22
FH008WC,229E-1992,1,0.0004,0.9944,2020-10-22
FH008WC,229E-1992,1,0.0001,1.1660,2020-10-22
FH008WC,229E-1992,2,0.1000,0.5028,2020-10-22
FH008WC,229E-1992,2,0.0333,0.7546,2020-10-22
FH008WC,229E-1992,2,0.0111,0.9500,2020-10-22
FH008WC,229E-1992,2,0.0037,0.9763,2020-10-22
FH008WC,229E-1992,2,0.0012,0.9539,2020-10-22
FH008WC,229E-1992,2,0.0004,0.9677,2020-10-22
FH008WC,229E-1992,2,0.0001,0.8930,2020-10-22
Nothing,229E-1992,1,0.1000,0.9311,2020-10-22
Nothing,229E-1992,1,0.0333,0.9940,2020-10-22
Nothing,229E-1992,1,0.0111,1.1040,2020-10-22
Nothing,229E-1992,1,0.0037,0.8799,2020-10-22
