,serum,virus,replicate,concentration,fraction infectivity
0,FH010WB,229E-1984,1,0.1,0.180206102
1,FH010WB,229E-1984,1,0.033333333,0.428730834
2,FH010WB,229E-1984,1,0.011111111,1.001159137
3,FH010WB,229E-1984,1,0.003703704,0.741395932
4,FH010WB,229E-1984,1,0.001234568,0.807828413
5,FH010WB,229E-1984,1,0.000411523,1.137736714
6,FH010WB,229E-1984,1,0.000137174,1.368900979
7,FH010WB,229E-1984,2,0.1,0.145178631
8,FH010WB,229E-1984,2,0.033333333,0.553442454
9,FH010WB,229E-1984,2,0.011111111,1.012958211
10,FH010WB,229E-1984,2,0.003703704,1.081657097
11,FH010WB,229E-1984,2,0.001234568,1.084179897
12,FH010WB,229E-1984,2,0.000411523,1.125132583
13,FH010WB,229E-1984,2,0.000137174,1.446863535
14,FH011KG,229E-1984,1,0.1,0.539024975
15,FH011KG,229E-1984,1,0.033333333,0.809434325
16,FH011KG,229E-1984,1,0.011111111,1.53754464
17,FH011KG,229E-1984,1,0.003703704,0.994660495
18,FH011KG,229E-1984,1,0.001234568,1.009205786
19,FH011KG,229E-1984,1,0.000411523,1.35333489
20,FH011KG,229E-1984,1,0.000137174,1.128889512
21,FH011KG,229E-1984,2,0.1,0.409619792
22,FH011KG,229E-1984,2,0.033333333,0.632178515
23,FH011KG,229E-1984,2,0.011111111,1.142386214
24,FH011KG,229E-1984,2,0.003703704,0.782170923
25,FH011KG,229E-1984,2,0.001234568,1.21346116
26,FH011KG,229E-1984,2,0.000411523,1.067125442
27,FH011KG,229E-1984,2,0.000137174,0.824651343
28,Nothing,229E-1984,1,0.1,1.001487623
29,Nothing,229E-1984,1,0.033333333,0.88275406
30,Nothing,229E-1984,1,0.011111111,1.094399292
31,Nothing,229E-1984,1,0.003703704,0.772770797
32,Nothing,229E-1984,1,0.001234568,1.38375868
33,Nothing,229E-1984,1,0.000411523,1.147803139
34,Nothing,229E-1984,1,0.000137174,0.981961019
35,Nothing,229E-1984,2,0.1,1.203448605
36,Nothing,229E-1984,2,0.033333333,0.847815359
37,Nothing,229E-1984,2,0.011111111,1.074640366
38,Nothing,229E-1984,2,0.003703704,0.901633012
39,Nothing,229E-1984,2,0.001234568,0.965120933
40,Nothing,229E-1984,2,0.000411523,1.069016062
41,Nothing,229E-1984,2,0.000137174,0.88006441
42,FR1377,229E-1984,1,0.1,0.780979047
43,FR1377,229E-1984,1,0.033333333,0.877123805
44,FR1377,229E-1984,1,0.011111111,1.240658229
45,FR1377,229E-1984,1,0.003703704,1.460128992
46,FR1377,229E-1984,1,0.001234568,0.879289204
47,FR1377,229E-1984,1,0.000411523,0.787094269
48,FR1377,229E-1984,1,0.000137174,0.887774054
49,FR1377,229E-1984,2,0.1,0.818089706
50,FR1377,229E-1984,2,0.033333333,0.647221702
51,FR1377,229E-1984,2,0.011111111,1.450817091
52,FR1377,229E-1984,2,0.003703704,1.31753013
53,FR1377,229E-1984,2,0.001234568,1.23041785
54,FR1377,229E-1984,2,0.000411523,0.915729563
55,FR1377,229E-1984,2,0.000137174,0.952799778
56,FH004MM,229E-1984,1,0.1,0.16819505
57,FH004MM,229E-1984,1,0.033333333,0.509536692
58,FH004MM,229E-1984,1,0.011111111,0.850159539
59,FH004MM,229E-1984,1,0.003703704,0.959629769
60,FH004MM,229E-1984,1,0.001234568,0.750508031
61,FH004MM,229E-1984,1,0.000411523,1.251860142
62,FH004MM,229E-1984,1,0.000137174,0.992573845
63,FH004MM,229E-1984,2,0.1,0.321611907
64,FH004MM,229E-1984,2,0.033333333,0.569744746
65,FH004MM,229E-1984,2,0.011111111,0.612513742
66,FH004MM,229E-1984,2,0.003703704,0.879061601
67,FH004MM,229E-1984,2,0.001234568,0.885014961
