,serum,virus,replicate,concentration,fraction infectivity
0,FH007TR,229E-2001-RBD,1,0.1,0.5426
1,FH007TR,229E-2001-RBD,1,0.03333,0.5986
2,FH007TR,229E-2001-RBD,1,0.01111,0.9747
3,FH007TR,229E-2001-RBD,1,0.003704,1.145
4,FH007TR,229E-2001-RBD,1,0.001235,1.27
5,FH007TR,229E-2001-RBD,1,0.0004115,0.9397
6,FH007TR,229E-2001-RBD,1,0.0001372,1.046
7,FH007TR,229E-2001-RBD,2,0.1,0.4733
8,FH007TR,229E-2001-RBD,2,0.03333,0.8334
9,FH007TR,229E-2001-RBD,2,0.01111,0.84
10,FH007TR,229E-2001-RBD,2,0.003704,1.151
11,FH007TR,229E-2001-RBD,2,0.001235,1.145
12,FH007TR,229E-2001-RBD,2,0.0004115,1.003
13,FH007TR,229E-2001-RBD,2,0.0001372,1.204
14,FH008WC,229E-2001-RBD,1,0.1,0.3564
15,FH008WC,229E-2001-RBD,1,0.03333,0.6259
16,FH008WC,229E-2001-RBD,1,0.01111,0.7501
17,FH008WC,229E-2001-RBD,1,0.003704,1.133
18,FH008WC,229E-2001-RBD,1,0.001235,0.9801
19,FH008WC,229E-2001-RBD,1,0.0004115,1.078
20,FH008WC,229E-2001-RBD,1,0.0001372,1.192
21,FH008WC,229E-2001-RBD,2,0.1,0.3095
22,FH008WC,229E-2001-RBD,2,0.03333,0.604
23,FH008WC,229E-2001-RBD,2,0.01111,0.767
24,FH008WC,229E-2001-RBD,2,0.003704,1.18
25,FH008WC,229E-2001-RBD,2,0.001235,1.122
26,FH008WC,229E-2001-RBD,2,0.0004115,0.9684
27,FH008WC,229E-2001-RBD,2,0.0001372,1.058
28,SD87_2,229E-2001-RBD,1,0.1,0.4636
29,SD87_2,229E-2001-RBD,1,0.03333,0.7323
30,SD87_2,229E-2001-RBD,1,0.01111,0.9973
31,SD87_2,229E-2001-RBD,1,0.003704,1.03
32,SD87_2,229E-2001-RBD,1,0.001235,0.9579
33,SD87_2,229E-2001-RBD,1,0.0004115,1.173
34,SD87_2,229E-2001-RBD,1,0.0001372,1.02
35,SD87_2,229E-2001-RBD,2,0.1,0.5048
36,SD87_2,229E-2001-RBD,2,0.03333,0.7583
37,SD87_2,229E-2001-RBD,2,0.01111,0.9809
38,SD87_2,229E-2001-RBD,2,0.003704,0.8965
39,SD87_2,229E-2001-RBD,2,0.001235,1.216
40,SD87_2,229E-2001-RBD,2,0.0004115,1.045
41,SD87_2,229E-2001-RBD,2,0.0001372,0.986
42,SD87_4,229E-2001-RBD,1,0.1,0.144
43,SD87_4,229E-2001-RBD,1,0.03333,0.3712
44,SD87_4,229E-2001-RBD,1,0.01111,0.7356
45,SD87_4,229E-2001-RBD,1,0.003704,0.9901
46,SD87_4,229E-2001-RBD,1,0.001235,1.126
47,SD87_4,229E-2001-RBD,1,0.0004115,1.035
48,SD87_4,229E-2001-RBD,1,0.0001372,1.025
49,SD87_4,229E-2001-RBD,2,0.1,0.1657
50,SD87_4,229E-2001-RBD,2,0.03333,0.3966
51,SD87_4,229E-2001-RBD,2,0.01111,0.7301
52,SD87_4,229E-2001-RBD,2,0.003704,0.8374
53,SD87_4,229E-2001-RBD,2,0.001235,1.09
54,SD87_4,229E-2001-RBD,2,0.0004115,0.9455
55,SD87_4,229E-2001-RBD,2,0.0001372,0.9299
56,SD87_6,229E-2001-RBD,1,0.1,0.1246
57,SD87_6,229E-2001-RBD,1,0.03333,0.3888
58,SD87_6,229E-2001-RBD,1,0.01111,0.8119
59,SD87_6,229E-2001-RBD,1,0.003704,0.8719
60,SD87_6,229E-2001-RBD,1,0.001235,1
61,SD87_6,229E-2001-RBD,1,0.0004115,0.9851
62,SD87_6,229E-2001-RBD,1,0.0001372,0.9916
63,SD87_6,229E-2001-RBD,2,0.1,0.1568
64,SD87_6,229E-2001-RBD,2,0.03333,0.4439
65,SD87_6,229E-2001-RBD,2,0.01111,0.7083
66,SD87_6,229E-2001-RBD,2,0.003704,0.8817
67,SD87_6,229E-2001-RBD,2,0.001235,1.011
68,SD87_6,229E-2001-RBD,2,0.0004115,0.8267
69,SD87_6,229E-2001-RBD,2,0.0001372,1.014
70,FR1377,229E-2001-RBD,1,0.1,0.6054
71,FR1377,229E-2001-RBD,1,0.03333,0.7947
72,FR1377,229E-2001-RBD,1,0.01111,0.9428
73,FR1377,229E-2001-RBD,1,0.003704,0.793
74,FR1377,229E-2001-RBD,1,0.001235,0.9631
75,FR1377,229E-2001-RBD,1,0.0004115,0.8811
76,FR1377,229E-2001-RBD,1,0.0001372,0.9468
77,FR1377,229E-2001-RBD,2,0.1,0.5665
78,FR1377,229E-2001-RBD,2,0.03333,0.8051
79,FR1377,229E-2001-RBD,2,0.01111,0.861
80,FR1377,229E-2001-RBD,2,0.003704,0.8965
81,FR1377,229E-2001-RBD,2,0.001235,1.247
82,FR1377,229E-2001-RBD,2,0.0004115,0.9802
83,FR1377,229E-2001-RBD,2,0.0001372,1.025
84,SD85_3,229E-2001-RBD,1,0.1,0.3288
85,SD85_3,229E-2001-RBD,1,0.03333,0.6253
86,SD85_3,229E-2001-RBD,1,0.01111,0.8247
87,SD85_3,229E-2001-RBD,1,0.003704,1.059
88,SD85_3,229E-2001-RBD,1,0.001235,1.226
89,SD85_3,229E-2001-RBD,1,0.0004115,1.011
90,SD85_3,229E-2001-RBD,1,0.0001372,0.952
91,SD85_3,229E-2001-RBD,2,0.1,0.3018
92,SD85_3,229E-2001-RBD,2,0.03333,0.7385
93,SD85_3,229E-2001-RBD,2,0.01111,0.8453
94,SD85_3,229E-2001-RBD,2,0.003704,1.015
95,SD85_3,229E-2001-RBD,2,0.001235,1.344
96,SD85_3,229E-2001-RBD,2,0.0004115,0.989
97,SD85_3,229E-2001-RBD,2,0.0001372,0.9389
98,SD85_5,229E-2001-RBD,1,0.1,0.6503
99,SD85_5,229E-2001-RBD,1,0.03333,0.8679
100,SD85_5,229E-2001-RBD,1,0.01111,1
101,SD85_5,229E-2001-RBD,1,0.003704,0.8971
102,SD85_5,229E-2001-RBD,1,0.001235,1.062
103,SD85_5,229E-2001-RBD,1,0.0004115,1.029
104,SD85_5,229E-2001-RBD,1,0.0001372,0.9083
105,SD85_5,229E-2001-RBD,2,0.1,0.5423
106,SD85_5,229E-2001-RBD,2,0.03333,0.7817
107,SD85_5,229E-2001-RBD,2,0.01111,0.8557
108,SD85_5,229E-2001-RBD,2,0.003704,1.147
109,SD85_5,229E-2001-RBD,2,0.001235,1.175
110,SD85_5,229E-2001-RBD,2,0.0004115,1.029
111,SD85_5,229E-2001-RBD,2,0.0001372,0.7816
112,SD86_5,229E-2001-RBD,1,0.1,0.06188
113,SD86_5,229E-2001-RBD,1,0.03333,0.3606
114,SD86_5,229E-2001-RBD,1,0.01111,0.5979
115,SD86_5,229E-2001-RBD,1,0.003704,0.848
116,SD86_5,229E-2001-RBD,1,0.001235,1.244
117,SD86_5,229E-2001-RBD,1,0.0004115,0.9363
118,SD86_5,229E-2001-RBD,1,0.0001372,0.7598
119,SD86_5,229E-2001-RBD,2,0.1,0.08028
120,SD86_5,229E-2001-RBD,2,0.03333,0.3229
121,SD86_5,229E-2001-RBD,2,0.01111,0.5618
122,SD86_5,229E-2001-RBD,2,0.003704,0.8088
123,SD86_5,229E-2001-RBD,2,0.001235,1.116
124,SD86_5,229E-2001-RBD,2,0.0004115,0.9363
125,SD86_5,229E-2001-RBD,2,0.0001372,0.7205
126,SD86_6,229E-2001-RBD,1,0.1,0.4245
127,SD86_6,229E-2001-RBD,1,0.03333,0.717
128,SD86_6,229E-2001-RBD,1,0.01111,0.7629
129,SD86_6,229E-2001-RBD,1,0.003704,0.8725
130,SD86_6,229E-2001-RBD,1,0.001235,1.052
131,SD86_6,229E-2001-RBD,1,0.0004115,0.989
132,SD86_6,229E-2001-RBD,1,0.0001372,0.7598
133,SD86_6,229E-2001-RBD,2,0.1,0.3417
134,SD86_6,229E-2001-RBD,2,0.03333,0.6091
135,SD86_6,229E-2001-RBD,2,0.01111,0.8041
136,SD86_6,229E-2001-RBD,2,0.003704,0.8529
137,SD86_6,229E-2001-RBD,2,0.001235,1.189
138,SD86_6,229E-2001-RBD,2,0.0004115,0.8088
139,SD86_6,229E-2001-RBD,2,0.0001372,0.6768
140,FH007TR,229E-1992-RBD,1,0.1,0.5577
141,FH007TR,229E-1992-RBD,1,0.03333,0.9273
142,FH007TR,229E-1992-RBD,1,0.01111,0.9943
143,FH007TR,229E-1992-RBD,1,0.003704,0.9348
144,FH007TR,229E-1992-RBD,1,0.001235,1.049
145,FH007TR,229E-1992-RBD,1,0.0004115,1.23
146,FH007TR,229E-1992-RBD,1,0.0001372,1.095
147,FH007TR,229E-1992-RBD,2,0.1,0.5773
148,FH007TR,229E-1992-RBD,2,0.03333,0.8008
149,FH007TR,229E-1992-RBD,2,0.01111,1.051
150,FH007TR,229E-1992-RBD,2,0.003704,0.9763
151,FH007TR,229E-1992-RBD,2,0.001235,1.283
152,FH007TR,229E-1992-RBD,2,0.0004115,1.235
153,FH007TR,229E-1992-RBD,2,0.0001372,1.197
154,FH008WC,229E-1992-RBD,1,0.1,0.6353
155,FH008WC,229E-1992-RBD,1,0.03333,0.883
156,FH008WC,229E-1992-RBD,1,0.01111,0.9774
157,FH008WC,229E-1992-RBD,1,0.003704,1.107
158,FH008WC,229E-1992-RBD,1,0.001235,0.9619
159,FH008WC,229E-1992-RBD,1,0.0004115,0.9487
160,FH008WC,229E-1992-RBD,1,0.0001372,0.9492
161,FH008WC,229E-1992-RBD,2,0.1,0.4417
162,FH008WC,229E-1992-RBD,2,0.03333,0.8387
163,FH008WC,229E-1992-RBD,2,0.01111,0.9094
164,FH008WC,229E-1992-RBD,2,0.003704,1.113
165,FH008WC,229E-1992-RBD,2,0.001235,0.9455
166,FH008WC,229E-1992-RBD,2,0.0004115,1.041
167,FH008WC,229E-1992-RBD,2,0.0001372,1.032
168,SD87_2,229E-1992-RBD,1,0.1,0.5359
169,SD87_2,229E-1992-RBD,1,0.03333,0.7153
170,SD87_2,229E-1992-RBD,1,0.01111,1.064
171,SD87_2,229E-1992-RBD,1,0.003704,1.005
172,SD87_2,229E-1992-RBD,1,0.001235,0.8856
173,SD87_2,229E-1992-RBD,1,0.0004115,0.9307
174,SD87_2,229E-1992-RBD,1,0.0001372,1.097
175,SD87_2,229E-1992-RBD,2,0.1,0.7243
176,SD87_2,229E-1992-RBD,2,0.03333,0.9408
177,SD87_2,229E-1992-RBD,2,0.01111,1.003
178,SD87_2,229E-1992-RBD,2,0.003704,1.178
179,SD87_2,229E-1992-RBD,2,0.001235,0.9294
180,SD87_2,229E-1992-RBD,2,0.0004115,1.213
181,SD87_2,229E-1992-RBD,2,0.0001372,1.059
182,SD87_4,229E-1992-RBD,1,0.1,0.2143
183,SD87_4,229E-1992-RBD,1,0.03333,0.5744
184,SD87_4,229E-1992-RBD,1,0.01111,0.9804
185,SD87_4,229E-1992-RBD,1,0.003704,0.9604
186,SD87_4,229E-1992-RBD,1,0.001235,1.051
187,SD87_4,229E-1992-RBD,1,0.0004115,1.003
188,SD87_4,229E-1992-RBD,1,0.0001372,1.109
189,SD87_4,229E-1992-RBD,2,0.1,0.2862
190,SD87_4,229E-1992-RBD,2,0.03333,0.7604
191,SD87_4,229E-1992-RBD,2,0.01111,0.8851
192,SD87_4,229E-1992-RBD,2,0.003704,1.035
193,SD87_4,229E-1992-RBD,2,0.001235,0.8174
194,SD87_4,229E-1992-RBD,2,0.0004115,1.208
195,SD87_4,229E-1992-RBD,2,0.0001372,1.178
