,serum,virus,replicate,concentration,fraction infectivity
0,FH007TR,229E-2016-RBD,1,0.1,0.487
1,FH007TR,229E-2016-RBD,1,0.03333,0.5814
2,FH007TR,229E-2016-RBD,1,0.01111,0.9435
3,FH007TR,229E-2016-RBD,1,0.003704,1.01
4,FH007TR,229E-2016-RBD,1,0.001235,0.8486
5,FH007TR,229E-2016-RBD,1,0.0004115,0.9814
6,FH007TR,229E-2016-RBD,1,0.0001372,1.125
7,FH007TR,229E-2016-RBD,2,0.1,0.4629
8,FH007TR,229E-2016-RBD,2,0.03333,0.7077
9,FH007TR,229E-2016-RBD,2,0.01111,1.041
10,FH007TR,229E-2016-RBD,2,0.003704,1.018
11,FH007TR,229E-2016-RBD,2,0.001235,0.9984
12,FH007TR,229E-2016-RBD,2,0.0004115,0.932
13,FH007TR,229E-2016-RBD,2,0.0001372,1.051
14,FH008WC,229E-2016-RBD,1,0.1,0.1632
15,FH008WC,229E-2016-RBD,1,0.03333,0.4312
16,FH008WC,229E-2016-RBD,1,0.01111,0.715
17,FH008WC,229E-2016-RBD,1,0.003704,0.8438
18,FH008WC,229E-2016-RBD,1,0.001235,0.9726
19,FH008WC,229E-2016-RBD,1,0.0004115,0.7946
20,FH008WC,229E-2016-RBD,1,0.0001372,1.077
21,FH008WC,229E-2016-RBD,2,0.1,0.1843
22,FH008WC,229E-2016-RBD,2,0.03333,0.3237
23,FH008WC,229E-2016-RBD,2,0.01111,0.6987
24,FH008WC,229E-2016-RBD,2,0.003704,0.8383
25,FH008WC,229E-2016-RBD,2,0.001235,0.9627
26,FH008WC,229E-2016-RBD,2,0.0004115,0.8394
27,FH008WC,229E-2016-RBD,2,0.0001372,0.9424
28,SD87_2,229E-2016-RBD,1,0.1,0.4683
29,SD87_2,229E-2016-RBD,1,0.03333,0.6254
30,SD87_2,229E-2016-RBD,1,0.01111,0.8599
31,SD87_2,229E-2016-RBD,1,0.003704,1.117
32,SD87_2,229E-2016-RBD,1,0.001235,1.056
33,SD87_2,229E-2016-RBD,1,0.0004115,1.196
34,SD87_2,229E-2016-RBD,1,0.0001372,0.9838
35,SD87_2,229E-2016-RBD,2,0.1,0.4535
36,SD87_2,229E-2016-RBD,2,0.03333,0.7729
37,SD87_2,229E-2016-RBD,2,0.01111,0.8177
38,SD87_2,229E-2016-RBD,2,0.003704,0.9246
39,SD87_2,229E-2016-RBD,2,0.001235,0.999
40,SD87_2,229E-2016-RBD,2,0.0004115,1.147
41,SD87_2,229E-2016-RBD,2,0.0001372,0.9964
42,SD87_4,229E-2016-RBD,1,0.1,0.3427
43,SD87_4,229E-2016-RBD,1,0.03333,0.6825
44,SD87_4,229E-2016-RBD,1,0.01111,0.9444
45,SD87_4,229E-2016-RBD,1,0.003704,1.018
46,SD87_4,229E-2016-RBD,1,0.001235,1.008
47,SD87_4,229E-2016-RBD,1,0.0004115,1
48,SD87_4,229E-2016-RBD,1,0.0001372,1.079
49,SD87_4,229E-2016-RBD,2,0.1,0.4598
50,SD87_4,229E-2016-RBD,2,0.03333,0.8188
51,SD87_4,229E-2016-RBD,2,0.01111,0.87
52,SD87_4,229E-2016-RBD,2,0.003704,0.9759
53,SD87_4,229E-2016-RBD,2,0.001235,1.032
54,SD87_4,229E-2016-RBD,2,0.0004115,1.199
55,SD87_4,229E-2016-RBD,2,0.0001372,1.21
56,SD87_6,229E-2016-RBD,1,0.1,0.1187
57,SD87_6,229E-2016-RBD,1,0.03333,0.3346
58,SD87_6,229E-2016-RBD,1,0.01111,0.7092
59,SD87_6,229E-2016-RBD,1,0.003704,0.8923
60,SD87_6,229E-2016-RBD,1,0.001235,1.022
61,SD87_6,229E-2016-RBD,1,0.0004115,1.105
62,SD87_6,229E-2016-RBD,1,0.0001372,0.9356
63,SD87_6,229E-2016-RBD,2,0.1,0.1132
64,SD87_6,229E-2016-RBD,2,0.03333,0.3045
65,SD87_6,229E-2016-RBD,2,0.01111,0.6119
66,SD87_6,229E-2016-RBD,2,0.003704,0.9692
67,SD87_6,229E-2016-RBD,2,0.001235,0.9547
68,SD87_6,229E-2016-RBD,2,0.0004115,1.046
69,SD87_6,229E-2016-RBD,2,0.0001372,1.123
70,FR1377,229E-2016-RBD,1,0.1,0.5978
71,FR1377,229E-2016-RBD,1,0.03333,0.8211
72,FR1377,229E-2016-RBD,1,0.01111,0.8938
73,FR1377,229E-2016-RBD,1,0.003704,0.9628
74,FR1377,229E-2016-RBD,1,0.001235,1.003
75,FR1377,229E-2016-RBD,1,0.0004115,0.8938
76,FR1377,229E-2016-RBD,1,0.0001372,1.011
77,FR1377,229E-2016-RBD,2,0.1,0.6379
78,FR1377,229E-2016-RBD,2,0.03333,0.7795
79,FR1377,229E-2016-RBD,2,0.01111,0.9338
80,FR1377,229E-2016-RBD,2,0.003704,0.9718
81,FR1377,229E-2016-RBD,2,0.001235,1.021
82,FR1377,229E-2016-RBD,2,0.0004115,1.062
83,FR1377,229E-2016-RBD,2,0.0001372,1.149
84,SD85_3,229E-2016-RBD,1,0.1,0.4079
85,SD85_3,229E-2016-RBD,1,0.03333,0.752
86,SD85_3,229E-2016-RBD,1,0.01111,0.9202
87,SD85_3,229E-2016-RBD,1,0.003704,0.9882
88,SD85_3,229E-2016-RBD,1,0.001235,1.198
89,SD85_3,229E-2016-RBD,1,0.0004115,1.044
90,SD85_3,229E-2016-RBD,1,0.0001372,1.021
91,SD85_3,229E-2016-RBD,2,0.1,0.4164
92,SD85_3,229E-2016-RBD,2,0.03333,0.6452
93,SD85_3,229E-2016-RBD,2,0.01111,0.879
94,SD85_3,229E-2016-RBD,2,0.003704,0.95
95,SD85_3,229E-2016-RBD,2,0.001235,0.8633
96,SD85_3,229E-2016-RBD,2,0.0004115,1.222
97,SD85_3,229E-2016-RBD,2,0.0001372,1.106
98,SD85_5,229E-2016-RBD,1,0.1,0.4697
99,SD85_5,229E-2016-RBD,1,0.03333,0.7248
100,SD85_5,229E-2016-RBD,1,0.01111,0.8969
101,SD85_5,229E-2016-RBD,1,0.003704,0.9627
102,SD85_5,229E-2016-RBD,1,0.001235,1.157
103,SD85_5,229E-2016-RBD,1,0.0004115,1.042
104,SD85_5,229E-2016-RBD,1,0.0001372,1.133
105,SD85_5,229E-2016-RBD,2,0.1,0.5476
106,SD85_5,229E-2016-RBD,2,0.03333,0.7681
107,SD85_5,229E-2016-RBD,2,0.01111,1.004
108,SD85_5,229E-2016-RBD,2,0.003704,1.024
109,SD85_5,229E-2016-RBD,2,0.001235,1.022
110,SD85_5,229E-2016-RBD,2,0.0004115,1.165
111,SD85_5,229E-2016-RBD,2,0.0001372,1.075
112,SD86_5,229E-2016-RBD,1,0.1,0.03646
113,SD86_5,229E-2016-RBD,1,0.03333,0.2254
114,SD86_5,229E-2016-RBD,1,0.01111,0.5992
115,SD86_5,229E-2016-RBD,1,0.003704,0.8961
116,SD86_5,229E-2016-RBD,1,0.001235,0.9203
117,SD86_5,229E-2016-RBD,1,0.0004115,1.132
118,SD86_5,229E-2016-RBD,1,0.0001372,1.263
119,SD86_5,229E-2016-RBD,2,0.1,0.03186
120,SD86_5,229E-2016-RBD,2,0.03333,0.2577
121,SD86_5,229E-2016-RBD,2,0.01111,0.6315
122,SD86_5,229E-2016-RBD,2,0.003704,0.8344
123,SD86_5,229E-2016-RBD,2,0.001235,0.8808
124,SD86_5,229E-2016-RBD,2,0.0004115,1.12
125,SD86_5,229E-2016-RBD,2,0.0001372,1.156
126,SD86_6,229E-2016-RBD,1,0.1,0.3044
127,SD86_6,229E-2016-RBD,1,0.03333,0.602
128,SD86_6,229E-2016-RBD,1,0.01111,0.9755
129,SD86_6,229E-2016-RBD,1,0.003704,1.01
130,SD86_6,229E-2016-RBD,1,0.001235,1.109
131,SD86_6,229E-2016-RBD,1,0.0004115,1.11
132,SD86_6,229E-2016-RBD,1,0.0001372,1.204
133,SD86_6,229E-2016-RBD,2,0.1,0.3441
134,SD86_6,229E-2016-RBD,2,0.03333,0.5022
135,SD86_6,229E-2016-RBD,2,0.01111,0.9439
136,SD86_6,229E-2016-RBD,2,0.003704,0.9179
137,SD86_6,229E-2016-RBD,2,0.001235,1.147
138,SD86_6,229E-2016-RBD,2,0.0004115,1.186
139,SD86_6,229E-2016-RBD,2,0.0001372,1.041
140,FH007TR,229E-2008-RBD,1,0.1,0.4459
141,FH007TR,229E-2008-RBD,1,0.03333,0.6316
142,FH007TR,229E-2008-RBD,1,0.01111,0.9261
143,FH007TR,229E-2008-RBD,1,0.003704,1.13
144,FH007TR,229E-2008-RBD,1,0.001235,1.117
145,FH007TR,229E-2008-RBD,1,0.0004115,1.1
146,FH007TR,229E-2008-RBD,1,0.0001372,1.03
147,FH007TR,229E-2008-RBD,2,0.1,0.3122
148,FH007TR,229E-2008-RBD,2,0.03333,0.6185
149,FH007TR,229E-2008-RBD,2,0.01111,0.9788
150,FH007TR,229E-2008-RBD,2,0.003704,0.9764
151,FH007TR,229E-2008-RBD,2,0.001235,0.9782
152,FH007TR,229E-2008-RBD,2,0.0004115,0.9178
153,FH007TR,229E-2008-RBD,2,0.0001372,1.137
154,FH008WC,229E-2008-RBD,1,0.1,0.07893
155,FH008WC,229E-2008-RBD,1,0.03333,0.307
156,FH008WC,229E-2008-RBD,1,0.01111,0.6713
157,FH008WC,229E-2008-RBD,1,0.003704,0.7951
158,FH008WC,229E-2008-RBD,1,0.001235,0.8817
159,FH008WC,229E-2008-RBD,1,0.0004115,1.127
160,FH008WC,229E-2008-RBD,1,0.0001372,1.215
161,FH008WC,229E-2008-RBD,2,0.1,0.09085
162,FH008WC,229E-2008-RBD,2,0.03333,0.2368
163,FH008WC,229E-2008-RBD,2,0.01111,0.6843
164,FH008WC,229E-2008-RBD,2,0.003704,0.9081
165,FH008WC,229E-2008-RBD,2,0.001235,0.9949
166,FH008WC,229E-2008-RBD,2,0.0004115,1.023
167,FH008WC,229E-2008-RBD,2,0.0001372,1.025
168,SD87_2,229E-2008-RBD,1,0.1,0.3837
169,SD87_2,229E-2008-RBD,1,0.03333,0.7924
170,SD87_2,229E-2008-RBD,1,0.01111,0.754
171,SD87_2,229E-2008-RBD,1,0.003704,1.028
172,SD87_2,229E-2008-RBD,1,0.001235,1.075
173,SD87_2,229E-2008-RBD,1,0.0004115,0.8734
174,SD87_2,229E-2008-RBD,1,0.0001372,0.9662
175,SD87_2,229E-2008-RBD,2,0.1,0.4072
176,SD87_2,229E-2008-RBD,2,0.03333,1.015
177,SD87_2,229E-2008-RBD,2,0.01111,0.898
178,SD87_2,229E-2008-RBD,2,0.003704,1.136
179,SD87_2,229E-2008-RBD,2,0.001235,1.117
180,SD87_2,229E-2008-RBD,2,0.0004115,1.07
181,SD87_2,229E-2008-RBD,2,0.0001372,0.9905
182,SD87_4,229E-2008-RBD,1,0.1,0.2262
183,SD87_4,229E-2008-RBD,1,0.03333,0.6555
184,SD87_4,229E-2008-RBD,1,0.01111,0.9365
185,SD87_4,229E-2008-RBD,1,0.003704,1.111
186,SD87_4,229E-2008-RBD,1,0.001235,0.9429
187,SD87_4,229E-2008-RBD,1,0.0004115,0.8708
188,SD87_4,229E-2008-RBD,1,0.0001372,1.113
189,SD87_4,229E-2008-RBD,2,0.1,0.2102
190,SD87_4,229E-2008-RBD,2,0.03333,0.618
191,SD87_4,229E-2008-RBD,2,0.01111,0.848
192,SD87_4,229E-2008-RBD,2,0.003704,1.091
193,SD87_4,229E-2008-RBD,2,0.001235,1.184
194,SD87_4,229E-2008-RBD,2,0.0004115,1.02
195,SD87_4,229E-2008-RBD,2,0.0001372,0.9271
196,SD87_6,229E-2008-RBD,1,0.1,0.04437
197,SD87_6,229E-2008-RBD,1,0.03333,0.2499
198,SD87_6,229E-2008-RBD,1,0.01111,0.6022
199,SD87_6,229E-2008-RBD,1,0.003704,0.9072
200,SD87_6,229E-2008-RBD,1,0.001235,1.156
201,SD87_6,229E-2008-RBD,1,0.0004115,0.9583
202,SD87_6,229E-2008-RBD,1,0.0001372,0.9837
203,SD87_6,229E-2008-RBD,2,0.1,0.03866
204,SD87_6,229E-2008-RBD,2,0.03333,0.3616
205,SD87_6,229E-2008-RBD,2,0.01111,0.8202
206,SD87_6,229E-2008-RBD,2,0.003704,0.9049
207,SD87_6,229E-2008-RBD,2,0.001235,0.8846
208,SD87_6,229E-2008-RBD,2,0.0004115,0.9733
