,serum,virus,replicate,concentration,fraction infectivity
0,SD95_7,229E-2016,1,0.1,0.5842
1,SD95_7,229E-2016,1,0.03333,0.7513
2,SD95_7,229E-2016,1,0.01111,0.8317
3,SD95_7,229E-2016,1,0.003704,1.109
4,SD95_7,229E-2016,1,0.001235,1.128
5,SD95_7,229E-2016,1,0.0004115,1.144
6,SD95_7,229E-2016,1,0.0001372,0.9888
7,SD95_7,229E-2016,2,0.1,0.5451
8,SD95_7,229E-2016,2,0.03333,0.7614
9,SD95_7,229E-2016,2,0.01111,0.7818
10,SD95_7,229E-2016,2,0.003704,0.956
11,SD95_7,229E-2016,2,0.001235,1.053
12,SD95_7,229E-2016,2,0.0004115,1.064
13,SD95_7,229E-2016,2,0.0001372,1.089
14,FR1377,229E-2016,1,0.1,0.6842
15,FR1377,229E-2016,1,0.03333,0.7678
16,FR1377,229E-2016,1,0.01111,0.8361
17,FR1377,229E-2016,1,0.003704,1.004
18,FR1377,229E-2016,1,0.001235,1.022
19,FR1377,229E-2016,1,0.0004115,0.9553
20,FR1377,229E-2016,1,0.0001372,1.112
21,FR1377,229E-2016,2,0.1,0.6326
22,FR1377,229E-2016,2,0.03333,0.8205
23,FR1377,229E-2016,2,0.01111,0.8806
24,FR1377,229E-2016,2,0.003704,1.079
25,FR1377,229E-2016,2,0.001235,1.067
26,FR1377,229E-2016,2,0.0004115,1.131
27,FR1377,229E-2016,2,0.0001372,1.119
28,SD93_1,229E-2016,1,0.1,0.02266
29,SD93_1,229E-2016,1,0.03333,0.1917
30,SD93_1,229E-2016,1,0.01111,0.4652
31,SD93_1,229E-2016,1,0.003704,0.9288
32,SD93_1,229E-2016,1,0.001235,1.017
33,SD93_1,229E-2016,1,0.0004115,0.9954
34,SD93_1,229E-2016,1,0.0001372,0.9359
35,SD93_1,229E-2016,2,0.1,0.03313
36,SD93_1,229E-2016,2,0.03333,0.2308
37,SD93_1,229E-2016,2,0.01111,0.5161
38,SD93_1,229E-2016,2,0.003704,0.7631
39,SD93_1,229E-2016,2,0.001235,0.9554
40,SD93_1,229E-2016,2,0.0004115,0.96
41,SD93_1,229E-2016,2,0.0001372,0.8286
42,SD93_4,229E-2016,1,0.1,0.4218
43,SD93_4,229E-2016,1,0.03333,0.8217
44,SD93_4,229E-2016,1,0.01111,0.9306
45,SD93_4,229E-2016,1,0.003704,1.007
46,SD93_4,229E-2016,1,0.001235,1.158
47,SD93_4,229E-2016,1,0.0004115,0.9417
48,SD93_4,229E-2016,1,0.0001372,0.9067
49,SD93_4,229E-2016,2,0.1,0.4386
50,SD93_4,229E-2016,2,0.03333,0.8114
51,SD93_4,229E-2016,2,0.01111,0.9284
52,SD93_4,229E-2016,2,0.003704,0.9857
53,SD93_4,229E-2016,2,0.001235,1.161
54,SD93_4,229E-2016,2,0.0004115,1.093
55,SD93_4,229E-2016,2,0.0001372,0.9375
56,SD95_3,229E-2016,1,0.1,0.194
57,SD95_3,229E-2016,1,0.03333,0.5564
58,SD95_3,229E-2016,1,0.01111,0.7319
59,SD95_3,229E-2016,1,0.003704,1.017
60,SD95_3,229E-2016,1,0.001235,1.046
61,SD95_3,229E-2016,1,0.0004115,0.9834
62,SD95_3,229E-2016,1,0.0001372,0.9566
63,SD95_3,229E-2016,2,0.1,0.1922
64,SD95_3,229E-2016,2,0.03333,0.5439
65,SD95_3,229E-2016,2,0.01111,0.744
66,SD95_3,229E-2016,2,0.003704,1.001
67,SD95_3,229E-2016,2,0.001235,1.175
68,SD95_3,229E-2016,2,0.0004115,0.9633
69,SD95_3,229E-2016,2,0.0001372,1.009
70,SD95_4,229E-2016,1,0.1,0.4301
71,SD95_4,229E-2016,1,0.03333,0.7356
72,SD95_4,229E-2016,1,0.01111,0.8967
73,SD95_4,229E-2016,1,0.003704,1.131
74,SD95_4,229E-2016,1,0.001235,0.9941
75,SD95_4,229E-2016,1,0.0004115,0.9755
