,serum,virus,replicate,concentration,fraction infectivity
0,POP_0013,229E-2016,1,0.1,0.0009118
1,POP_0013,229E-2016,1,0.03333,0.001457
2,POP_0013,229E-2016,1,0.01111,0.001819
3,POP_0013,229E-2016,1,0.003704,0.03717
4,POP_0013,229E-2016,1,0.001235,0.1903
5,POP_0013,229E-2016,1,0.0004115,0.4611
6,POP_0013,229E-2016,1,0.0001372,0.6856
7,POP_0013,229E-2016,2,0.1,0.000408
8,POP_0013,229E-2016,2,0.03333,0.001164
9,POP_0013,229E-2016,2,0.01111,0.001808
10,POP_0013,229E-2016,2,0.003704,0.004883
11,POP_0013,229E-2016,2,0.001235,0.1103
12,POP_0013,229E-2016,2,0.0004115,0.3357
13,POP_0013,229E-2016,2,0.0001372,0.6729
14,POP_0030,229E-2016,1,0.1,0.03199
15,POP_0030,229E-2016,1,0.03333,0.2012
16,POP_0030,229E-2016,1,0.01111,0.5342
17,POP_0030,229E-2016,1,0.003704,0.7906
18,POP_0030,229E-2016,1,0.001235,0.9652
19,POP_0030,229E-2016,1,0.0004115,0.9762
20,POP_0030,229E-2016,1,0.0001372,1.065
21,POP_0030,229E-2016,2,0.1,0.02392
22,POP_0030,229E-2016,2,0.03333,0.1815
23,POP_0030,229E-2016,2,0.01111,0.4976
24,POP_0030,229E-2016,2,0.003704,0.8724
25,POP_0030,229E-2016,2,0.001235,0.9313
26,POP_0030,229E-2016,2,0.0004115,0.9885
27,POP_0030,229E-2016,2,0.0001372,1.051
28,POP_0074,229E-2016,1,0.1,0.0001695
29,POP_0074,229E-2016,1,0.03333,0.01271
30,POP_0074,229E-2016,1,0.01111,0.167
31,POP_0074,229E-2016,1,0.003704,0.4551
32,POP_0074,229E-2016,1,0.001235,0.789
33,POP_0074,229E-2016,1,0.0004115,0.9173
34,POP_0074,229E-2016,1,0.0001372,1.031
35,POP_0074,229E-2016,2,0.1,0.0001606
36,POP_0074,229E-2016,2,0.03333,0.0147
37,POP_0074,229E-2016,2,0.01111,0.1641
38,POP_0074,229E-2016,2,0.003704,0.4614
39,POP_0074,229E-2016,2,0.001235,0.7785
40,POP_0074,229E-2016,2,0.0004115,0.9257
41,POP_0074,229E-2016,2,0.0001372,1.053
42,POP_0097,229E-2016,1,0.1,0.0003311
43,POP_0097,229E-2016,1,0.03333,0.01906
44,POP_0097,229E-2016,1,0.01111,0.1789
45,POP_0097,229E-2016,1,0.003704,0.6055
46,POP_0097,229E-2016,1,0.001235,0.7318
47,POP_0097,229E-2016,1,0.0004115,0.9496
48,POP_0097,229E-2016,1,0.0001372,0.8827
49,POP_0097,229E-2016,2,0.1,0.004772
50,POP_0097,229E-2016,2,0.03333,0.05021
51,POP_0097,229E-2016,2,0.01111,0.3091
52,POP_0097,229E-2016,2,0.003704,0.7532
53,POP_0097,229E-2016,2,0.001235,0.882
54,POP_0097,229E-2016,2,0.0004115,0.9976
55,POP_0097,229E-2016,2,0.0001372,0.8817
56,AUSAB-10,229E-2016,1,0.1,0.01238
57,AUSAB-10,229E-2016,1,0.03333,0.09157
58,AUSAB-10,229E-2016,1,0.01111,0.3125
59,AUSAB-10,229E-2016,1,0.003704,0.6156
60,AUSAB-10,229E-2016,1,0.001235,0.8011
61,AUSAB-10,229E-2016,1,0.0004115,0.9082
62,AUSAB-10,229E-2016,1,0.0001372,1.054
63,AUSAB-10,229E-2016,2,0.1,0.006861
64,AUSAB-10,229E-2016,2,0.03333,0.09639
65,AUSAB-10,229E-2016,2,0.01111,0.3126
66,AUSAB-10,229E-2016,2,0.003704,0.5689
67,AUSAB-10,229E-2016,2,0.001235,0.8333
68,AUSAB-10,229E-2016,2,0.0004115,0.9167
69,AUSAB-10,229E-2016,2,0.0001372,0.995
70,AUSAB-12,229E-2016,1,0.1,0.1208
71,AUSAB-12,229E-2016,1,0.03333,0.3936
72,AUSAB-12,229E-2016,1,0.01111,0.7073
73,AUSAB-12,229E-2016,1,0.003704,0.7763
74,AUSAB-12,229E-2016,1,0.001235,0.9899
75,AUSAB-12,229E-2016,1,0.0004115,0.9128
76,AUSAB-12,229E-2016,1,0.0001372,1.088
77,AUSAB-12,229E-2016,2,0.1,0.1284
78,AUSAB-12,229E-2016,2,0.03333,0.4237
79,AUSAB-12,229E-2016,2,0.01111,0.6058
80,AUSAB-12,229E-2016,2,0.003704,0.8785
81,AUSAB-12,229E-2016,2,0.001235,0.8904
82,AUSAB-12,229E-2016,2,0.0004115,0.9696
83,AUSAB-12,229E-2016,2,0.0001372,1.098
84,AUSAB-17,229E-2016,1,0.1,0.023
85,AUSAB-17,229E-2016,1,0.03333,0.1403
86,AUSAB-17,229E-2016,1,0.01111,0.4598
87,AUSAB-17,229E-2016,1,0.003704,0.7317
88,AUSAB-17,229E-2016,1,0.001235,0.8088
89,AUSAB-17,229E-2016,1,0.0004115,0.8923
90,AUSAB-17,229E-2016,1,0.0001372,1.095
91,AUSAB-17,229E-2016,2,0.1,0.0178
92,AUSAB-17,229E-2016,2,0.03333,0.09367
93,AUSAB-17,229E-2016,2,0.01111,0.3488
94,AUSAB-17,229E-2016,2,0.003704,0.6354
95,AUSAB-17,229E-2016,2,0.001235,0.7886
96,AUSAB-17,229E-2016,2,0.0004115,0.8697
97,AUSAB-17,229E-2016,2,0.0001372,1.099
98,AUSAB-20,229E-2016,1,0.1,0.01015
99,AUSAB-20,229E-2016,1,0.03333,0.1234
100,AUSAB-20,229E-2016,1,0.01111,0.4181
101,AUSAB-20,229E-2016,1,0.003704,0.7645
102,AUSAB-20,229E-2016,1,0.001235,0.9717
103,AUSAB-20,229E-2016,1,0.0004115,0.9102
104,AUSAB-20,229E-2016,1,0.0001372,1.057
105,AUSAB-20,229E-2016,2,0.1,0.02773
106,AUSAB-20,229E-2016,2,0.03333,0.1954
107,AUSAB-20,229E-2016,2,0.01111,0.5731
108,AUSAB-20,229E-2016,2,0.003704,0.8693
109,AUSAB-20,229E-2016,2,0.001235,0.8376
110,AUSAB-20,229E-2016,2,0.0004115,0.9325
111,AUSAB-20,229E-2016,2,0.0001372,0.981
112,POP_0013,229E-2008,1,0.1,0.0727
113,POP_0013,229E-2008,1,0.03333,0.2845
114,POP_0013,229E-2008,1,0.01111,0.5819
115,POP_0013,229E-2008,1,0.003704,0.924
116,POP_0013,229E-2008,1,0.001235,0.9122
117,POP_0013,229E-2008,1,0.0004115,0.955
118,POP_0013,229E-2008,1,0.0001372,0.9931
119,POP_0013,229E-2008,2,0.1,0.2183
120,POP_0013,229E-2008,2,0.03333,0.627
121,POP_0013,229E-2008,2,0.01111,0.862
122,POP_0013,229E-2008,2,0.003704,0.9844
123,POP_0013,229E-2008,2,0.001235,0.9748
124,POP_0013,229E-2008,2,0.0004115,0.9772
125,POP_0013,229E-2008,2,0.0001372,0.9351
126,POP_0030,229E-2008,1,0.1,0.2517
127,POP_0030,229E-2008,1,0.03333,0.5877
128,POP_0030,229E-2008,1,0.01111,0.6694
129,POP_0030,229E-2008,1,0.003704,0.8758
130,POP_0030,229E-2008,1,0.001235,0.9548
131,POP_0030,229E-2008,1,0.0004115,0.9562
132,POP_0030,229E-2008,1,0.0001372,0.8169
133,POP_0030,229E-2008,2,0.1,0.2404
134,POP_0030,229E-2008,2,0.03333,0.6302
135,POP_0030,229E-2008,2,0.01111,0.7234
136,POP_0030,229E-2008,2,0.003704,0.856
137,POP_0030,229E-2008,2,0.001235,0.9165
138,POP_0030,229E-2008,2,0.0004115,0.9678
139,POP_0030,229E-2008,2,0.0001372,0.9217
140,POP_0074,229E-2008,1,0.1,0.03981
141,POP_0074,229E-2008,1,0.03333,0.2165
142,POP_0074,229E-2008,1,0.01111,0.4869
143,POP_0074,229E-2008,1,0.003704,0.8414
144,POP_0074,229E-2008,1,0.001235,0.9084
145,POP_0074,229E-2008,1,0.0004115,0.9779
146,POP_0074,229E-2008,1,0.0001372,0.8769
147,POP_0074,229E-2008,2,0.1,0.007741
148,POP_0074,229E-2008,2,0.03333,0.1088
149,POP_0074,229E-2008,2,0.01111,0.3189
150,POP_0074,229E-2008,2,0.003704,0.6276
151,POP_0074,229E-2008,2,0.001235,0.7845
152,POP_0074,229E-2008,2,0.0004115,0.8333
153,POP_0074,229E-2008,2,0.0001372,0.9148
154,POP_0097,229E-2008,1,0.1,0.003375
