,serum,virus,replicate,concentration,fraction infectivity
0,FH008WC,229E-2016-RBD,1,0.1,0.172
1,FH008WC,229E-2016-RBD,1,0.03333,0.4122
2,FH008WC,229E-2016-RBD,1,0.01111,0.6159
3,FH008WC,229E-2016-RBD,1,0.003704,0.9113
4,FH008WC,229E-2016-RBD,1,0.001235,1.085
5,FH008WC,229E-2016-RBD,1,0.0004115,0.9553
6,FH008WC,229E-2016-RBD,1,0.0001372,0.9105
7,FH008WC,229E-2016-RBD,2,0.1,0.1704
8,FH008WC,229E-2016-RBD,2,0.03333,0.3593
9,FH008WC,229E-2016-RBD,2,0.01111,0.6498
10,FH008WC,229E-2016-RBD,2,0.003704,0.7444
11,FH008WC,229E-2016-RBD,2,0.001235,1.012
12,FH008WC,229E-2016-RBD,2,0.0004115,0.9534
13,FH008WC,229E-2016-RBD,2,0.0001372,0.9369
14,SD86_5,229E-2016-RBD,1,0.1,0.09148
15,SD86_5,229E-2016-RBD,1,0.03333,0.2913
16,SD86_5,229E-2016-RBD,1,0.01111,0.6101
17,SD86_5,229E-2016-RBD,1,0.003704,0.9192
18,SD86_5,229E-2016-RBD,1,0.001235,0.927
19,SD86_5,229E-2016-RBD,1,0.0004115,0.7814
20,SD86_5,229E-2016-RBD,1,0.0001372,0.9397
21,SD86_5,229E-2016-RBD,2,0.1,0.03423
22,SD86_5,229E-2016-RBD,2,0.03333,0.2333
23,SD86_5,229E-2016-RBD,2,0.01111,0.5165
24,SD86_5,229E-2016-RBD,2,0.003704,0.7738
25,SD86_5,229E-2016-RBD,2,0.001235,1.007
26,SD86_5,229E-2016-RBD,2,0.0004115,0.9749
27,SD86_5,229E-2016-RBD,2,0.0001372,0.8994
28,SD87_6,229E-2016-RBD,1,0.1,0.158
29,SD87_6,229E-2016-RBD,1,0.03333,0.4575
30,SD87_6,229E-2016-RBD,1,0.01111,0.5838
31,SD87_6,229E-2016-RBD,1,0.003704,0.9335
32,SD87_6,229E-2016-RBD,1,0.001235,0.9731
33,SD87_6,229E-2016-RBD,1,0.0004115,0.9435
34,SD87_6,229E-2016-RBD,1,0.0001372,0.9113
