,serum,virus,replicate,concentration,fraction infectivity
0,FH007TR,229E-1992,1,0.1,0.453
1,FH007TR,229E-1992,1,0.03333,0.7756
2,FH007TR,229E-1992,1,0.01111,0.893
3,FH007TR,229E-1992,1,0.003704,0.9029
4,FH007TR,229E-1992,1,0.001235,1.249
5,FH007TR,229E-1992,1,0.0004115,0.8859
6,FH007TR,229E-1992,1,0.0001372,0.9151
7,FH007TR,229E-1992,2,0.1,0.5574
8,FH007TR,229E-1992,2,0.03333,0.9568
9,FH007TR,229E-1992,2,0.01111,0.8926
10,FH007TR,229E-1992,2,0.003704,1.071
11,FH007TR,229E-1992,2,0.001235,0.9803
12,FH007TR,229E-1992,2,0.0004115,0.9385
13,FH007TR,229E-1992,2,0.0001372,1.145
14,FH008WC,229E-1992,1,0.1,0.4147
15,FH008WC,229E-1992,1,0.03333,0.7384
16,FH008WC,229E-1992,1,0.01111,0.9084
17,FH008WC,229E-1992,1,0.003704,1.04
18,FH008WC,229E-1992,1,0.001235,1.274
19,FH008WC,229E-1992,1,0.0004115,0.9944
20,FH008WC,229E-1992,1,0.0001372,1.166
21,FH008WC,229E-1992,2,0.1,0.5028
22,FH008WC,229E-1992,2,0.03333,0.7546
23,FH008WC,229E-1992,2,0.01111,0.95
24,FH008WC,229E-1992,2,0.003704,0.9763
25,FH008WC,229E-1992,2,0.001235,0.9539
26,FH008WC,229E-1992,2,0.0004115,0.9677
27,FH008WC,229E-1992,2,0.0001372,0.893
28,Nothing,229E-1992,1,0.1,0.9311
29,Nothing,229E-1992,1,0.03333,0.994
30,Nothing,229E-1992,1,0.01111,1.104
31,Nothing,229E-1992,1,0.003704,0.8799
32,Nothing,229E-1992,1,0.001235,0.9641
33,Nothing,229E-1992,1,0.0004115,0.9301
34,Nothing,229E-1992,1,0.0001372,1.003
35,Nothing,229E-1992,2,0.1,1.093
36,Nothing,229E-1992,2,0.03333,1.024
37,Nothing,229E-1992,2,0.01111,1.003
38,Nothing,229E-1992,2,0.003704,0.896
39,Nothing,229E-1992,2,0.001235,0.9013
40,Nothing,229E-1992,2,0.0004115,0.8992
41,Nothing,229E-1992,2,0.0001372,1.005
42,FR1377,229E-1992,1,0.1,0.5951
43,FR1377,229E-1992,1,0.03333,0.9245
44,FR1377,229E-1992,1,0.01111,1.088
45,FR1377,229E-1992,1,0.003704,1.021
46,FR1377,229E-1992,1,0.001235,0.8994
47,FR1377,229E-1992,1,0.0004115,0.9651
48,FR1377,229E-1992,1,0.0001372,0.8694
49,FR1377,229E-1992,2,0.1,0.6316
50,FR1377,229E-1992,2,0.03333,0.8302
51,FR1377,229E-1992,2,0.01111,1.076
52,FR1377,229E-1992,2,0.003704,0.8728
53,FR1377,229E-1992,2,0.001235,0.9382
54,FR1377,229E-1992,2,0.0004115,0.9129
55,FR1377,229E-1992,2,0.0001372,0.8942
56,SD87_2,229E-1992,1,0.1,0.4763
