1,2,3,4,5,6,7,8,9,10,11,12
neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl,neg_ctrl
pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl,pos_ctrl
cells_only,cells_only,cells_only,cells_only,cells_only,cells_only,cells_only,cells_only,cells_only,cells_only,cells_only,cells_only
