,serum,virus,replicate,concentration,fraction infectivity
0,FH007TR,229E-2001,1,0.1,0.459
1,FH007TR,229E-2001,1,0.03333,0.7123
2,FH007TR,229E-2001,1,0.01111,0.8564
3,FH007TR,229E-2001,1,0.003704,1.102
4,FH007TR,229E-2001,1,0.001235,0.9302
5,FH007TR,229E-2001,1,0.0004115,0.9795
6,FH007TR,229E-2001,1,0.0001372,1.058
7,FH007TR,229E-2001,2,0.1,0.611
8,FH007TR,229E-2001,2,0.03333,0.7134
9,FH007TR,229E-2001,2,0.01111,0.8315
10,FH007TR,229E-2001,2,0.003704,1.172
11,FH007TR,229E-2001,2,0.001235,1.051
12,FH007TR,229E-2001,2,0.0004115,1.066
13,FH007TR,229E-2001,2,0.0001372,1.096
14,FH008WC,229E-2001,1,0.1,0.3442
15,FH008WC,229E-2001,1,0.03333,0.6542
16,FH008WC,229E-2001,1,0.01111,0.7905
17,FH008WC,229E-2001,1,0.003704,0.9972
18,FH008WC,229E-2001,1,0.001235,1.041
19,FH008WC,229E-2001,1,0.0004115,1.142
20,FH008WC,229E-2001,1,0.0001372,1.035
21,FH008WC,229E-2001,2,0.1,0.3304
22,FH008WC,229E-2001,2,0.03333,0.5666
23,FH008WC,229E-2001,2,0.01111,0.7748
24,FH008WC,229E-2001,2,0.003704,1.019
25,FH008WC,229E-2001,2,0.001235,1.17
26,FH008WC,229E-2001,2,0.0004115,0.9954
27,FH008WC,229E-2001,2,0.0001372,1.087
28,Nothing,229E-2001,1,0.1,1.026
29,Nothing,229E-2001,1,0.03333,1.158
30,Nothing,229E-2001,1,0.01111,0.8155
31,Nothing,229E-2001,1,0.003704,1.044
32,Nothing,229E-2001,1,0.001235,1.103
33,Nothing,229E-2001,1,0.0004115,1.023
34,Nothing,229E-2001,1,0.0001372,1.023
35,Nothing,229E-2001,2,0.1,1.179
36,Nothing,229E-2001,2,0.03333,1.047
37,Nothing,229E-2001,2,0.01111,0.7881
38,Nothing,229E-2001,2,0.003704,1.081
39,Nothing,229E-2001,2,0.001235,0.9538
40,Nothing,229E-2001,2,0.0004115,1.068
41,Nothing,229E-2001,2,0.0001372,1.037
42,FR1377,229E-2001,1,0.1,0.8312
43,FR1377,229E-2001,1,0.03333,0.8023
44,FR1377,229E-2001,1,0.01111,1.007
45,FR1377,229E-2001,1,0.003704,0.9574
46,FR1377,229E-2001,1,0.001235,0.9664
47,FR1377,229E-2001,1,0.0004115,0.9628
48,FR1377,229E-2001,1,0.0001372,1.044
49,FR1377,229E-2001,2,0.1,0.7053
50,FR1377,229E-2001,2,0.03333,0.9217
51,FR1377,229E-2001,2,0.01111,0.9669
52,FR1377,229E-2001,2,0.003704,1.006
53,FR1377,229E-2001,2,0.001235,0.9708
54,FR1377,229E-2001,2,0.0004115,1.138
55,FR1377,229E-2001,2,0.0001372,0.9734
56,SD87_2,229E-2001,1,0.1,0.5483
57,SD87_2,229E-2001,1,0.03333,0.6685
58,SD87_2,229E-2001,1,0.01111,0.9252
59,SD87_2,229E-2001,1,0.003704,1.101
60,SD87_2,229E-2001,1,0.001235,1.007
61,SD87_2,229E-2001,1,0.0004115,1.071
62,SD87_2,229E-2001,1,0.0001372,1.046
63,SD87_2,229E-2001,2,0.1,0.7556
64,SD87_2,229E-2001,2,0.03333,0.6502
65,SD87_2,229E-2001,2,0.01111,0.7551
66,SD87_2,229E-2001,2,0.003704,0.9175
67,SD87_2,229E-2001,2,0.001235,1.084
68,SD87_2,229E-2001,2,0.0004115,1.074
69,SD87_2,229E-2001,2,0.0001372,1.156
70,SD87_4,229E-2001,1,0.1,0.2573
71,SD87_4,229E-2001,1,0.03333,0.4842
72,SD87_4,229E-2001,1,0.01111,0.8253
73,SD87_4,229E-2001,1,0.003704,0.9316
74,SD87_4,229E-2001,1,0.001235,1.105
75,SD87_4,229E-2001,1,0.0004115,1.116
76,SD87_4,229E-2001,1,0.0001372,0.9361
77,SD87_4,229E-2001,2,0.1,0.2923
78,SD87_4,229E-2001,2,0.03333,0.579
79,SD87_4,229E-2001,2,0.01111,0.7662
80,SD87_4,229E-2001,2,0.003704,0.8238
81,SD87_4,229E-2001,2,0.001235,1.185
82,SD87_4,229E-2001,2,0.0004115,0.9419
83,SD87_4,229E-2001,2,0.0001372,1.094
84,SD87_6,229E-2001,1,0.1,0.1201
85,SD87_6,229E-2001,1,0.03333,0.2984
86,SD87_6,229E-2001,1,0.01111,0.7143
87,SD87_6,229E-2001,1,0.003704,1.015
88,SD87_6,229E-2001,1,0.001235,1.16
89,SD87_6,229E-2001,1,0.0004115,1.033
90,SD87_6,229E-2001,1,0.0001372,1.041
91,SD87_6,229E-2001,2,0.1,0.1388
92,SD87_6,229E-2001,2,0.03333,0.2914
93,SD87_6,229E-2001,2,0.01111,0.6544
94,SD87_6,229E-2001,2,0.003704,0.9994
95,SD87_6,229E-2001,2,0.001235,1.105
96,SD87_6,229E-2001,2,0.0004115,1.059
97,SD87_6,229E-2001,2,0.0001372,1.325
98,SD85_2,229E-2001,1,0.1,0.6882
99,SD85_2,229E-2001,1,0.03333,0.7019
100,SD85_2,229E-2001,1,0.01111,0.818
101,SD85_2,229E-2001,1,0.003704,0.9417
102,SD85_2,229E-2001,1,0.001235,1.183
103,SD85_2,229E-2001,1,0.0004115,1.089
104,SD85_2,229E-2001,1,0.0001372,1.116
105,SD85_2,229E-2001,2,0.1,0.6794
106,SD85_2,229E-2001,2,0.03333,0.7141
107,SD85_2,229E-2001,2,0.01111,0.8483
108,SD85_2,229E-2001,2,0.003704,0.9939
109,SD85_2,229E-2001,2,0.001235,0.9963
110,SD85_2,229E-2001,2,0.0004115,0.9167
111,SD85_2,229E-2001,2,0.0001372,1.092
112,SD85_3,229E-2001,1,0.1,0.4495
113,SD85_3,229E-2001,1,0.03333,0.7119
114,SD85_3,229E-2001,1,0.01111,0.8731
115,SD85_3,229E-2001,1,0.003704,0.9993
116,SD85_3,229E-2001,1,0.001235,0.9334
117,SD85_3,229E-2001,1,0.0004115,1.024
118,SD85_3,229E-2001,1,0.0001372,1.003
119,SD85_3,229E-2001,2,0.1,0.3728
120,SD85_3,229E-2001,2,0.03333,0.7407
121,SD85_3,229E-2001,2,0.01111,0.9128
122,SD85_3,229E-2001,2,0.003704,0.9099
123,SD85_3,229E-2001,2,0.001235,0.9043
124,SD85_3,229E-2001,2,0.0004115,0.9583
125,SD85_3,229E-2001,2,0.0001372,1.003
126,SD85_5,229E-2001,1,0.1,0.6547
127,SD85_5,229E-2001,1,0.03333,0.7548
128,SD85_5,229E-2001,1,0.01111,0.8683
129,SD85_5,229E-2001,1,0.003704,1.016
130,SD85_5,229E-2001,1,0.001235,1.043
131,SD85_5,229E-2001,1,0.0004115,1.014
132,SD85_5,229E-2001,1,0.0001372,0.9988
133,SD85_5,229E-2001,2,0.1,0.5593
134,SD85_5,229E-2001,2,0.03333,0.7469
135,SD85_5,229E-2001,2,0.01111,0.9889
136,SD85_5,229E-2001,2,0.003704,0.8744
137,SD85_5,229E-2001,2,0.001235,0.9508
138,SD85_5,229E-2001,2,0.0004115,1.001
139,SD85_5,229E-2001,2,0.0001372,1.115
140,SD86_5,229E-2001,1,0.1,0.1268
141,SD86_5,229E-2001,1,0.03333,0.3301
142,SD86_5,229E-2001,1,0.01111,0.7081
143,SD86_5,229E-2001,1,0.003704,0.7597
144,SD86_5,229E-2001,1,0.001235,0.8115
145,SD86_5,229E-2001,1,0.0004115,0.9905
146,SD86_5,229E-2001,1,0.0001372,1.037
147,SD86_5,229E-2001,2,0.1,0.1594
148,SD86_5,229E-2001,2,0.03333,0.3562
149,SD86_5,229E-2001,2,0.01111,0.5818
150,SD86_5,229E-2001,2,0.003704,0.8952
151,SD86_5,229E-2001,2,0.001235,0.9728
152,SD86_5,229E-2001,2,0.0004115,0.9818
153,SD86_5,229E-2001,2,0.0001372,0.9951
154,SD86_6,229E-2001,1,0.1,0.2472
155,SD86_6,229E-2001,1,0.03333,0.5884
156,SD86_6,229E-2001,1,0.01111,0.802
157,SD86_6,229E-2001,1,0.003704,0.88
158,SD86_6,229E-2001,1,0.001235,0.8427
159,SD86_6,229E-2001,1,0.0004115,1.02
160,SD86_6,229E-2001,1,0.0001372,1.18
161,SD86_6,229E-2001,2,0.1,0.2931
162,SD86_6,229E-2001,2,0.03333,0.5611
163,SD86_6,229E-2001,2,0.01111,0.8132
164,SD86_6,229E-2001,2,0.003704,0.958
165,SD86_6,229E-2001,2,0.001235,0.8284
166,SD86_6,229E-2001,2,0.0004115,0.9252
167,SD86_6,229E-2001,2,0.0001372,1.099
