DateRead,Plate,Sample,SampleNum,Virus,PlateLayout,StartDil,DilFactor
10/16/20,Plate 1-V,SD85_1,1,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 1-V,SD85_2,2,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 1-V,SD85_3,3,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 1-V,SD85_4,4,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 2-V,SD85_5,1,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 2-V,SD85_6,2,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 2-V,SD86_1,3,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 2-V,SD86_2,4,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 3-V,SD86_3,1,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 3-V,SD86_4,2,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 3-V,SD86_5,3,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 3-V,SD86_6,4,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 4-V,SD87_1,1,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 4-V,SD87_2,2,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 4-V,SD87_3,3,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 4-V,SD87_4,4,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 5-V,SD87_5,1,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 5-V,SD87_6,2,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 5-V,Nothing,3,229E-1984,layout1.csv,0.1,3
10/16/20,Plate 5-V,FR1377,4,229E-1984,layout1.csv,0.1,3
