,serum,virus,replicate,concentration,fraction infectivity
0,FH010WB,229E-1984,1,0.1,0.1452
1,FH010WB,229E-1984,1,0.03333,0.5534
2,FH010WB,229E-1984,1,0.01111,1.013
3,FH010WB,229E-1984,1,0.003704,1.082
4,FH010WB,229E-1984,1,0.001235,1.084
5,FH010WB,229E-1984,1,0.0004115,1.125
6,FH010WB,229E-1984,1,0.0001372,1.447
7,FH010WB,229E-1984,2,0.1,0.1802
8,FH010WB,229E-1984,2,0.03333,0.4287
9,FH010WB,229E-1984,2,0.01111,1.001
10,FH010WB,229E-1984,2,0.003704,0.7414
11,FH010WB,229E-1984,2,0.001235,0.8078
12,FH010WB,229E-1984,2,0.0004115,1.138
13,FH010WB,229E-1984,2,0.0001372,1.369
14,FH011KG,229E-1984,1,0.1,0.539
15,FH011KG,229E-1984,1,0.03333,0.8094
16,FH011KG,229E-1984,1,0.01111,1.538
17,FH011KG,229E-1984,1,0.003704,0.9947
18,FH011KG,229E-1984,1,0.001235,1.009
19,FH011KG,229E-1984,1,0.0004115,1.353
20,FH011KG,229E-1984,1,0.0001372,1.129
21,FH011KG,229E-1984,2,0.1,0.4096
22,FH011KG,229E-1984,2,0.03333,0.6322
23,FH011KG,229E-1984,2,0.01111,1.142
24,FH011KG,229E-1984,2,0.003704,0.7822
25,FH011KG,229E-1984,2,0.001235,1.213
26,FH011KG,229E-1984,2,0.0004115,1.067
27,FH011KG,229E-1984,2,0.0001372,0.8247
28,Nothing,229E-1984,1,0.1,1.001
29,Nothing,229E-1984,1,0.03333,0.8828
30,Nothing,229E-1984,1,0.01111,1.094
31,Nothing,229E-1984,1,0.003704,0.7728
32,Nothing,229E-1984,1,0.001235,1.384
33,Nothing,229E-1984,1,0.0004115,1.148
34,Nothing,229E-1984,1,0.0001372,0.982
35,Nothing,229E-1984,2,0.1,1.203
36,Nothing,229E-1984,2,0.03333,0.8478
37,Nothing,229E-1984,2,0.01111,1.075
38,Nothing,229E-1984,2,0.003704,0.9016
39,Nothing,229E-1984,2,0.001235,0.9651
40,Nothing,229E-1984,2,0.0004115,1.069
41,Nothing,229E-1984,2,0.0001372,0.8801
42,FR1377,229E-1984,1,0.1,0.781
43,FR1377,229E-1984,1,0.03333,0.8771
44,FR1377,229E-1984,1,0.01111,1.241
45,FR1377,229E-1984,1,0.003704,1.46
46,FR1377,229E-1984,1,0.001235,0.8793
47,FR1377,229E-1984,1,0.0004115,0.7871
48,FR1377,229E-1984,1,0.0001372,0.8878
49,FR1377,229E-1984,2,0.1,0.8181
50,FR1377,229E-1984,2,0.03333,0.6472
51,FR1377,229E-1984,2,0.01111,1.451
52,FR1377,229E-1984,2,0.003704,1.318
53,FR1377,229E-1984,2,0.001235,1.23
54,FR1377,229E-1984,2,0.0004115,0.9157
55,FR1377,229E-1984,2,0.0001372,0.9528
56,FH004MM,229E-1984,1,0.1,0.3216
57,FH004MM,229E-1984,1,0.03333,0.5697
58,FH004MM,229E-1984,1,0.01111,0.6125
59,FH004MM,229E-1984,1,0.003704,0.8791
60,FH004MM,229E-1984,1,0.001235,0.885
61,FH004MM,229E-1984,1,0.0004115,1.11
62,FH004MM,229E-1984,1,0.0001372,1.054
63,FH004MM,229E-1984,2,0.1,0.1682
64,FH004MM,229E-1984,2,0.03333,0.5095
65,FH004MM,229E-1984,2,0.01111,0.8502
66,FH004MM,229E-1984,2,0.003704,0.9596
67,FH004MM,229E-1984,2,0.001235,0.7505
68,FH004MM,229E-1984,2,0.0004115,1.252
69,FH004MM,229E-1984,2,0.0001372,0.9926
70,FH005DJ,229E-1984,1,0.1,0.01548
71,FH005DJ,229E-1984,1,0.03333,0.1112
72,FH005DJ,229E-1984,1,0.01111,0.6028
73,FH005DJ,229E-1984,1,0.003704,0.9456
74,FH005DJ,229E-1984,1,0.001235,0.7184
75,FH005DJ,229E-1984,1,0.0004115,1.027
76,FH005DJ,229E-1984,1,0.0001372,0.9559
77,FH005DJ,229E-1984,2,0.1,0.01637
78,FH005DJ,229E-1984,2,0.03333,0.3688
79,FH005DJ,229E-1984,2,0.01111,0.5883
80,FH005DJ,229E-1984,2,0.003704,0.9123
81,FH005DJ,229E-1984,2,0.001235,0.6523
82,FH005DJ,229E-1984,2,0.0004115,1.204
83,FH005DJ,229E-1984,2,0.0001372,0.6873
84,FH007TR,229E-1984,1,0.1,0.02607
85,FH007TR,229E-1984,1,0.03333,0.1585
86,FH007TR,229E-1984,1,0.01111,0.3929
87,FH007TR,229E-1984,1,0.003704,0.7084
88,FH007TR,229E-1984,1,0.001235,0.922
89,FH007TR,229E-1984,1,0.0004115,0.6431
90,FH007TR,229E-1984,1,0.0001372,0.9736
91,FH007TR,229E-1984,2,0.1,0.01054
92,FH007TR,229E-1984,2,0.03333,0.1307
93,FH007TR,229E-1984,2,0.01111,0.4781
94,FH007TR,229E-1984,2,0.003704,0.7615
95,FH007TR,229E-1984,2,0.001235,0.8006
96,FH007TR,229E-1984,2,0.0004115,1.133
97,FH007TR,229E-1984,2,0.0001372,0.7714
98,FH008WC,229E-1984,1,0.1,0.0003516
99,FH008WC,229E-1984,1,0.03333,0.006277
100,FH008WC,229E-1984,1,0.01111,0.09973
101,FH008WC,229E-1984,1,0.003704,0.4626
102,FH008WC,229E-1984,1,0.001235,0.5007
103,FH008WC,229E-1984,1,0.0004115,0.7214
104,FH008WC,229E-1984,1,0.0001372,0.7992
105,FH008WC,229E-1984,2,0.1,0.0008924
106,FH008WC,229E-1984,2,0.03333,0.01779
107,FH008WC,229E-1984,2,0.01111,0.1535
108,FH008WC,229E-1984,2,0.003704,0.3466
109,FH008WC,229E-1984,2,0.001235,0.6414
110,FH008WC,229E-1984,2,0.0004115,0.6675
111,FH008WC,229E-1984,2,0.0001372,0.8127
